...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-5007925,R-HSA-500792,GPCR ligand binding,37/593,204/8368,8.17660387148793e-8,1.63041481197469e-5,1.49072399004391e-5,23596/5744/727/6354/6364/9034/729230/7852/57486/2914/6372/5732/135/1234/6374/2919/3627/5724/1901/5734/5031/719/1240/2015/9934/6752/338442/2865/54331/27198/2550/1241/8843/6351/6349/6348/6753,37,up,Reactome,HSV1.nasal,FALSE,1,4.787701887845957,4.787701887845957
R-HSA-9135315,R-HSA-913531,Interferon Signaling,33/593,174/8368,1.40233981217694e-7,2.33022132123401e-5,2.13057241639514e-5,960/3430/3383/23586/4940/4939/2633/3437/3433/4502/3663/6737/85363/54739/91543/3662/51191/9775/4684/2209/24138/115362/9246/3460/1973/115361/5724/3669/11274/8651/3665/2316/10379,33,up,Reactome,HSV1.nasal,FALSE,1,4.632602828319085,4.632602828319085
R-HSA-14742446,R-HSA-1474244,Extracellular matrix organization,38/593,224/8368,3.30757099955212e-7,4.7109261236478e-5,4.30730298588291e-5,1634/960/3371/2006/5351/9509/22795/3383/5155/7087/5054/8985/6678/1294/2335/4811/4317/6696/2331/5033/3791/7837/1289/4017/1284/3679/2201/1291/1292/8515/871/4684/4314/1278/1281/1282/5154/4321,38,up,Reactome,HSV1.nasal,FALSE,1,4.32689370627836,4.32689370627836
R-HSA-3801085,R-HSA-380108,Chemokine receptors bind chemokines,13/593,38/8368,1.03438972353222e-6,1.289108192952e-4,1.1786598691827e-4,6354/6364/9034/729230/7852/6372/1234/6374/2919/3627/6351/6349/6348,13,up,Reactome,HSV1.nasal,FALSE,1,3.8897106314207015,3.8897106314207015
R-HSA-2160835,R-HSA-216083,Integrin cell surface interactions,17/593,64/8368,1.35771096471652e-6,1.5040420353581e-4,1.3751785911631e-4,960/3371/3383/7087/1294/2335/6696/3791/1289/1284/3679/1291/1292/8515/1278/1281/1282,17,up,Reactome,HSV1.nasal,FALSE,1,3.822740025799591,3.822740025799591
R-HSA-8773005,R-HSA-877300,Interferon gamma signaling,19/593,80/8368,2.09001317396668e-6,2.0837431344447e-4,1.9052120091106e-4,960/3383/4940/4939/2633/4502/3663/6737/85363/3662/4684/2209/115362/3460/115361/5724/8651/3665/10379,19,up,Reactome,HSV1.nasal,FALSE,1,3.6811558180830475,3.6811558180830475
R-HSA-30001784,R-HSA-3000178,ECM proteoglycans,15/593,53/8368,2.38446227523092e-6,2.1611898985502e-4,1.9760232826315e-4,1634/3371/5054/6678/2335/2331/1289/1284/3679/1291/1292/4684/1278/1281/1282,15,up,Reactome,HSV1.nasal,FALSE,1,3.665307071030195,3.665307071030195
R-HSA-9097334,R-HSA-909733,Interferon alpha/beta signaling,15/593,56/8368,5.07882127354038e-6,4.2196540080998e-4,3.8581221253385e-4,3430/4940/4939/3437/3433/3663/54739/91543/3662/24138/3669/11274/8651/3665/10379,15,up,Reactome,HSV1.nasal,FALSE,1,3.374723157695501,3.374723157695501
R-HSA-3752765,R-HSA-375276,Peptide ligand-binding receptors,18/593,80/8368,8.76748259436845e-6,6.7239847281425e-4,6.1478865803425e-4,727/6354/6364/9034/729230/7852/57486/6372/1234/6374/2919/3627/719/6752/6351/6349/6348/6753,18,up,Reactome,HSV1.nasal,FALSE,1,3.1723732816232526,3.1723732816232526
R-HSA-67986956,R-HSA-6798695,Neutrophil degranulation,53/593,445/8368,1.0819803263151e-4,0.00543537711306653,0.00496968440048104,2268/4057/960/51816/10043/51382/10562/945/8778/230/4790/8876/411/965/4317/383/5328/7130/968/158747/272/7097/6386/121260/53831/7226/6278/8560/79888/2207/3101/6283/2919/11314/5724/126014/719/3310/527/12/5265/10533/140885/4860/1378/3304/3303/5004/80301/100049587/401258/3240/23601,53,up,Reactome,HSV1.nasal,FALSE,1,2.2647703186536474,2.2647703186536474
