"","pc-1-1_phase3","pc-1-2_phase3","pc-2-1_phase3","pc-2-2_phase3","pc-3-1_phase3","pc-3-2_phase3","pc-4-1_phase3","pc-4-2_phase3","pc-5-1_phase3","pc-5-2_phase3","pc-6-1_phase3","pc-6-2_phase3","pc-7-1_phase3","pc-7-2_phase3","pc-8-1_phase3","pc-8-2_phase3","pc-9-1_phase3","pc-9-2_phase3","pc-10-1_phase3","pc-10-2_phase3","pc-11-1_phase3","pc-11-2_phase3","pc-2-1","pc-2-2","pc-4-1","pc-4-2"
"Exiguobacterium sp. Helios",0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exiguobacterium acetylicum",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella nonliquefaciens",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morus notabilis",0,0,0,0,0,0,102,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Ruminococcus] torques",0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia intestinalis",0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Eubacterium] rectale",0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. WCHA55",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter seifertii",0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella copri",0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprococcus sp. ART55/1",0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buchnera aphidicola",0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
"Aphis gossypii",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacter faecalis",0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sp. AntiMn-1",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0
"Psychrobacter arcticus",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psychrobacter sp.",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
"Ligilactobacillus salivarius",0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myzus persicae",0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rheinheimera sp. LHK132",0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus infantarius",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella aerofaciens",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zymoseptoria tritici",0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riemerella anatipestifer",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus faecium",0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diuraphis noxia",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium efficiens",0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichoderma gamsii",0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella haemolysans",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Priestia megaterium",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"Leptotrichia buccalis",0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mogibacterium diversum",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elizabethkingia anophelis",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacterium radiotolerans",0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shewanella sp. ANA-3",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridioides difficile",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia coli",0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus epidermidis",0,0,0,0,0,0,0,18665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12625,0,0,0
"Staphylococcus auricularis",0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"Cutibacterium avidum",0,0,0,0,0,0,0,14196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodotorula glutinis",0,0,0,0,0,0,0,7649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodotorula graminis",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodotorula mucilaginosa",0,0,0,0,0,0,0,2151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodotorula toruloides",0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodotorula diobovata",0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talaromyces marneffei",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Byssochlamys spectabilis",0,0,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp.",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspergillus sclerotioniger",0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspergillus fumigatus",0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hesperocyparis glabra",0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hesperocyparis lusitanica",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hesperocyparis lindleyi",0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hesperocyparis benthamii",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xylaria hypoxylon",0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cupressus sempervirens",0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pestalotiopsis fici",0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella morbillorum",0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cucumis melo",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blattabacterium sp. (Blattella germanica)",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diversispora epigaea",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tannerella forsythia",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vigna angularis",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus hominis",0,0,0,0,0,0,0,0,16262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus pseudintermedius",0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus saccharolyticus",0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus lugdunensis",0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"Staphylococcus argenteus",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas stutzeri",0,0,0,0,0,0,0,0,20682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas balearica",0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas sp. THAF7b",0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas sp. R2A2",0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas xanthomarina",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas sp. SXM-1",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas tolaasii",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas furukawaii",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Massilia sp. LPB0304",0,0,0,0,0,0,0,0,13080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium sp. oral taxon 193",0,0,0,0,0,0,0,0,9387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus salivarius",0,0,0,0,0,0,0,0,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus oralis",0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus gordonii",0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium haemomassiliense",0,0,0,0,0,0,0,0,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium ureicelerivorans",0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium glaucum",0,0,0,0,0,0,0,0,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium frankenforstense",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paracoccus yeei",0,0,0,0,0,0,0,0,3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paracoccus mutanolyticus",0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia mucilaginosa",0,0,0,0,0,0,0,0,2532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia dentocariosa",0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
"Rothia aeria",0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Actinomyces sp. oral taxon 171",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schaalia meyeri",0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia wadei",0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia defectiva",0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonas terrigena",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thermomonas carbonis",0,0,0,0,0,0,0,0,1049,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,0
"Thermomonas sp. HDW16",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspergillus cristatus",0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspergillus ruber",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodococcus sp. NJ-530",0,0,0,0,0,0,0,0,19,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochrobactrum sp. MT180101",0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kocuria varians",0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malassezia pachydermatis",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaseolus vulgaris alphaendornavirus 1",0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter concisus",0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaseolus vulgaris",0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaphorina citri",0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cucurbita maxima",0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cucurbita pepo",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azotobacter chroococcum",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolosigranulum pigrum",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pauljensenia hongkongensis",0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paucibacter sp. KCTC 42545",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paracoccidioides lutzii",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Janibacter sp. YB324",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"Pandoraea thiooxydans",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Babesia bigemina",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter tandoii",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bradyrhizobium sp. CCBAU 53421",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacterium sp. WL1",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseomonas gilardii",0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcus luteus",0,0,0,0,0,0,0,0,0,45897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcus sp. KBS0714",0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcus yunnanensis",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella osloensis",0,0,0,0,0,0,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dermacoccus abyssi",0,0,0,0,0,0,0,0,0,5689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dermacoccus sp. PAMC28757",0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus delbrueckii",0,0,0,0,0,0,0,0,0,21,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus johnsonii",0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kytococcus sedentarius",0,0,0,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonia bronchialis",0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonia terrae",0,0,0,0,0,0,0,0,0,104,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonia rubripertincta",0,0,0,0,0,0,0,0,0,29,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
"Brachybacterium sp. SGAir0954",0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meiothermus silvanus",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dietzia sp. oral taxon 368",0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dietzia lutea",0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
"Pseudomonas sp. CMR5c",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas simiae",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pantoea vagans",0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paracoccus contaminans",0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paracoccus aminophilus",0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paracoccus suum",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"Penicillium solitum",0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chthoniobacter flavus",0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacterium luteolum",0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacterium sp. WO024",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cronobacter sakazakii",0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium sanguinis",0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium mycetoides",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptothrix cholodnii",0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devriesea agamarum",0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luteimonas sp. YGD11-2",0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"Clavispora lusitaniae",0,0,0,0,0,0,0,0,0,24,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Paludibaculum fermentans",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polaromonas sp. JS666",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidiphilium multivorum",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter gyllenbergii",0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. C16S1",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella variicola",0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herbaspirillum hiltneri",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter pittii",0,0,0,0,0,0,0,0,0,0,2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter calcoaceticus",0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter sp. NCu2D-2",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kazachstania exigua",0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anoxybacillus amylolyticus",0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leclercia sp. 119287",0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodococcus opacus",0,0,0,0,0,0,0,0,0,0,15,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
"Azospirillum lipoferum",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria elongata",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonas koreensis",0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus vaginalis",0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas chlororaphis",0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas protegens",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas corrugata",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus anginosus",0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geobacillus stearothermophilus",0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geobacillus sp. 12AMOR1",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhizobium oryzihabitans",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
"Enterobacter cloacae",0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacter sp. E76",0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"Xanthomonas campestris",0,0,0,0,0,0,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xanthomonas perforans",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parageobacillus thermoglucosidasius",0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium imitans",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudarthrobacter phenanthrenivorans",0,0,0,0,0,0,0,0,0,0,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epidermidibacterium keratini",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phycicoccus endophyticus",0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Trichoderma atroviride",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phreatobacter stygius",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afipia sp. GAS231",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cellvibrio sp. PSBB023",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacterium florentinum",0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllobacterium zundukense",0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidovorax sp. HDW3",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodococcus pyridinivorans",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium oxydans",0,0,0,0,0,0,0,0,0,0,0,18103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium hydrocarbonoxydans",0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium sp. RG1",0,0,0,0,0,0,0,0,0,0,0,97,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium sp. Y-01",0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,48,0,0,0,0
"Microbacterium lemovicicum",0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium sp. XT11",0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"Microbacterium sp. CBA3102",0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium sp. Se63.02b",0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium oleivorans",0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium sp. ST-M6",0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Microbacterium paraoxydans",0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microbacterium pygmaeum",0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"Microbacterium oryzae",0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
