"","virus_compartment","feature","shape","average","summed_virus_smooth_coefficients","average_virus_smooth_coefficients","average_coefficient","virus_n","control_n","shape.adj","average.adj"
"347","Human alphaherpesvirus 2 (HSV2).nasal","S100A12","0.250125660648484","0.00654755942554374","-2.95069867476057","-0.32785540830673","0.777270290068207","4","492",0.653230702431522,0.208157638335412
"348","Human alphaherpesvirus 2 (HSV2).nasal","CD40","0.398966965041285","0.253761972135679","-0.889475225510267","-0.0988305806122519","0.242471083271582","4","492",0.789582699149278,0.899371715101128
"349","Human alphaherpesvirus 2 (HSV2).nasal","IL33","0.150578290498875","0.737741928300406","0.28166566793231","0.0312961853258122","0.0445098870691783","4","492",0.577216780245688,0.930066677418294
"350","Human alphaherpesvirus 2 (HSV2).nasal","IFNG","0.805181091368426","0.57016520841989","1.32468447826805","0.147187164252006","0.338430869607352","4","492",0.92595825507369,0.925560004644588
"351","Human alphaherpesvirus 2 (HSV2).nasal","FGF19","0.403373770217566","0.439249171707117","2.7122151905871","0.301357243398567","-0.239454478616291","4","492",0.789582699149278,0.925560004644588
"352","Human alphaherpesvirus 2 (HSV2).nasal","IL4","0.023387984764096","0.845968992138863","-3.5822473159943","-0.398027479554922","-0.0457240951019929","4","492",0.414244316028411,0.94392665852948
"353","Human alphaherpesvirus 2 (HSV2).nasal","LIF","0.372245075470184","0.481475571756101","1.38257284820223","0.153619205355803","-0.100669738196307","4","492",0.770798675498655,0.925560004644588
"354","Human alphaherpesvirus 2 (HSV2).nasal","NRTN","0.113977063130196","0.760124534046462","1.58372192744959","0.175969103049955","0.0535040408800929","4","492",0.556447951012128,0.933024665293656
"355","Human alphaherpesvirus 2 (HSV2).nasal","CCL8","0.0270159336540268","0.658376850359604","4.41130840923922","0.490145378804358","-0.142428169552965","4","492",0.414244316028411,0.930066677418294
"356","Human alphaherpesvirus 2 (HSV2).nasal","CASP8","0.0523660913786136","0.0138350103577493","-4.30879782890846","-0.478755314323162","0.547102780871624","4","492",0.556447951012128,0.254564190582587
"357","Human alphaherpesvirus 2 (HSV2).nasal","CCL25","0.702271991819741","0.17134116278282","0.391936502127807","0.043548500236423","-0.306133521392409","4","492",0.885055112978304,0.899371715101128
"358","Human alphaherpesvirus 2 (HSV2).nasal","CX3CL1","0.0197513172961952","0.481643428385901","2.70097953452255","0.300108837169172","-0.157004621721117","4","492",0.414244316028411,0.925560004644588
"359","Human alphaherpesvirus 2 (HSV2).nasal","TNFRSF9","0.269812681439107","0.956228717814584","-1.45641494232399","-0.161823882480443","-0.0167408848389192","4","492",0.653230702431522,0.963311750949919
"360","Human alphaherpesvirus 2 (HSV2).nasal","NTF3","0.475824194401157","0.546106112047336","-0.752754353017149","-0.083639372557461","-0.0966158174668572","4","492",0.846849052060669,0.925560004644588
"361","Human alphaherpesvirus 2 (HSV2).nasal","TNFSF12","0.508773557763315","0.310198092789064","0.955080393112118","0.106120043679124","0.152886029569796","4","492",0.867627708866189,0.899371715101128
"362","Human alphaherpesvirus 2 (HSV2).nasal","CCL20","0.434285424230485","0.720024126859618","2.28856603917149","0.254285115463499","0.13148701481317","4","492",0.815393041412339,0.930066677418294
"363","Human alphaherpesvirus 2 (HSV2).nasal","SULT1A1","0.355560217013069","0.795661030677754","-3.03140104681218","-0.336822338534686","0.0771456660790843","4","492",0.76465753900876,0.94392665852948
"364","Human alphaherpesvirus 2 (HSV2).nasal","STAMBP","0.942732673809681","0.202915011628414","-0.173430895136778","-0.019270099459642","0.277010826595852","4","492",0.974510179668434,0.899371715101128
"365","Human alphaherpesvirus 2 (HSV2).nasal","IL5","0.935822368476528","0.851586007151596","0.117746905625169","0.0130829895139077","-0.0498165396209151","4","492",0.974510179668434,0.94392665852948
"366","Human alphaherpesvirus 2 (HSV2).nasal","ADA","0.651095839334982","0.420869195291987","0.631802463650678","0.0702002737389642","0.145054653754738","4","492",0.880449850387906,0.925560004644588
