"","name","plate","trajectory_group","count","freq"
"167","EBV.nasal","2_4","3",1,0.0117647058823529
"168","EBV.nasal","2_4","4",3,0.0352941176470588
"169","EBV.nasal","2_4","5",2,0.0235294117647059
"170","EBV.nasal","2_5","2",1,0.0123456790123457
"171","EBV.nasal","2_5","3",1,0.0123456790123457
"172","EBV.nasal","2_5","5",1,0.0123456790123457
"173","EBV.nasal","2_6","2",2,0.0229885057471264
"174","EBV.nasal","2_6","3",1,0.0114942528735632
"175","EBV.nasal","2_6","4",1,0.0114942528735632
"176","EBV.nasal","2_7","3",1,0.0117647058823529
"177","EBV.nasal","2_7","4",2,0.0235294117647059
"178","EBV.nasal","2_8","3",2,0.0235294117647059
"179","EBV.nasal","2_8","4",1,0.0117647058823529
"180","EBV.nasal","2_8","5",5,0.0588235294117647
"181","EBV.nasal","2_9","4",2,0.024390243902439
"182","EBV.nasal","3A_1","2",1,0.0116279069767442
"183","EBV.nasal","3A_1","4",2,0.0232558139534884
"184","EBV.nasal","3A_1","5",2,0.0232558139534884
"185","EBV.nasal","3A_10","4",3,0.0357142857142857
"186","EBV.nasal","3A_10","5",4,0.0476190476190476
"187","EBV.nasal","3A_11","4",2,0.0229885057471264
"188","EBV.nasal","3A_2","2",1,0.0112359550561798
"189","EBV.nasal","3A_2","3",2,0.0224719101123595
"190","EBV.nasal","3A_2","4",2,0.0224719101123595
"191","EBV.nasal","3A_3","4",1,0.0113636363636364
"192","EBV.nasal","3A_4",NA,NA,0
"193","EBV.nasal","3A_5","4",1,0.0117647058823529
"194","EBV.nasal","3A_6","3",1,0.012987012987013
"195","EBV.nasal","3A_6","4",1,0.012987012987013
"196","EBV.nasal","3A_7","3",1,0.0112359550561798
"197","EBV.nasal","3A_7","5",1,0.0112359550561798
"198","EBV.nasal","3A_8","1",1,0.0111111111111111
"199","EBV.nasal","3A_8","2",2,0.0222222222222222
"200","EBV.nasal","3A_8","3",1,0.0111111111111111
"201","EBV.nasal","3A_8","4",2,0.0222222222222222
"202","EBV.nasal","3A_9","5",2,0.0232558139534884
"203","EBV.nasal","3B_1","3",2,0.0235294117647059
"204","EBV.nasal","3B_1","4",2,0.0235294117647059
"205","EBV.nasal","3B_2","2",1,0.0116279069767442
"206","EBV.nasal","3B_2","4",1,0.0116279069767442
"207","EBV.nasal","3B_3","3",1,0.0131578947368421
"208","EBV.nasal","3B_3","4",1,0.0131578947368421
"209","EBV.nasal","3B_4","3",2,0.0240963855421687
"210","EBV.nasal","3B_4","4",2,0.0240963855421687
"211","EBV.nasal","3B_4","5",2,0.0240963855421687
"212","EBV.nasal","3B_5","3",1,0.0116279069767442
"213","EBV.nasal","3B_6","4",1,0.0169491525423729
"214","EBV.nasal","3B_7","2",1,0.0121951219512195
"215","EBV.nasal","3B_7","4",5,0.0609756097560976
