...1,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,dir,database,virus,knock_in,coef,log10p,signed_log10p
R-HSA-2024032,R-HSA-202403,TCR signaling,17/361,111/8368,4.73360004305071e-6,0.00104964384489342,8.990017629177e-4,5689/5685/5720/5684/5687/5716/1445/5715/6500/5686/915/5970/7334/3932/3123/3122/3113,17,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.978958036583534,-2.978958036583534
R-HSA-5607761,R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,12/361,58/8368,5.12021387752889e-6,0.00104964384489342,8.990017629177e-4,5689/5685/5720/5684/5687/5716/5715/6500/9040/5686/9039/5970,12,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.978958036583534,-2.978958036583534
R-HSA-90207022,R-HSA-9020702,Interleukin-1 signaling,15/361,99/8368,1.96392396546964e-5,0.00325275979678945,0.00278593239591517,5689/5685/5720/9978/5684/5687/5716/4793/5715/6500/5686/28511/5970/7334/3146,15,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.487748006432425,-2.487748006432425
R-HSA-6111051,R-HSA-611105,Respiratory electron transport,15/361,100/8368,2.22139693439279e-5,0.00325275979678945,0.00278593239591517,4706/51300/1349/4711/7385/4715/80224/4712/55863/54205/4729/84987/4700/4697/4722,15,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.487748006432425,-2.487748006432425
R-HSA-5676590,R-HSA-5676590,NIK-->noncanonical NF-kB signaling,11/361,57/8368,2.55397109453638e-5,0.00327227546487474,0.00280264722742545,5689/5685/5720/5684/5687/5716/5715/6500/9040/5686/9039,11,down,Reactome,Anelloviridae.pbmc,FALSE,-1,2.485150143925078,-2.485150143925078
R-HSA-1989333,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,40/751,98/8368,1.58213504785269e-17,1.6185241539533102e-14,1.3456474933315501e-14,3683/7305/933/57823/2213/29992/3383/4345/958/10859/56654/1277/3676/718/27180/3824/10219/89790/2209/10225/925/3689/917/114836/1278/915/3903/11314/1281/126014/926/930/4068/11006/374383/919/916/2214/3134/11027,40,up,Reactome,EBV.nasal,FALSE,1,13.790880815044005,13.790880815044005
R-HSA-4491473,R-HSA-449147,Signaling by Interleukins,87/751,396/8368,6.57713780062281e-16,3.36420598501857e-13,2.7970143910016997e-13,9235/920/2534/240/7431/7133/1265/6624/6813/4791/4208/3595/332/3383/3594/3162/1439/3560/4318/3055/7076/50615/9466/7040/3718/2889/1440/4790/3587/5777/6648/4001/1154/3552/6364/2335/356/1441/2185/941/729230/1026/3553/6776/3656/3559/3936/3557/5292/3662/10068/834/6775/3687/5778/4478/3561/6935/9446/3689/1234/2919/1230/1278/6850/64127/3575/3635/5724/3684/2357/5293/596/3603/1436/3932/1435/8356/7124/4067/6352/8355/6351/8354/6349/6348/8968,87,up,Reactome,EBV.nasal,FALSE,1,12.473117420894882,12.473117420894882
R-HSA-2024332,R-HSA-202433,Generation of second messenger molecules,20/751,30/8368,1.14593086183168e-14,3.66438420535946e-12,3.04658377108653e-12,920/7454/3937/2533/9402/3702/7535/917/915/3119/3932/3123/51466/3117/5336/919/916/3122/3115/3113,20,up,Reactome,EBV.nasal,FALSE,1,11.43599899747149,11.43599899747149
R-HSA-67986954,R-HSA-6798695,Neutrophil degranulation,91/751,445/8368,1.43279929828327e-14,3.66438420535946e-12,3.04658377108653e-12,2268/3683/7305/4057/240/6556/960/7133/1535/6515/1265/8514/6793/5337/5788/2512/201294/51816/10043/4318/1522/10326/23406/79792/3614/230/4790/10312/51411/5777/8876/411/11240/4033/5328/976/64333/3071/7130/718/5199/27180/9535/1116/272/1794/7097/121260/53831/3687/2588/7226/963/6278/79930/2040/5795/101/79888/2207/1476/3689/3101/23114/2919/1536/3903/11314/5724/3684/929/126014/1084/2358/2357/719/160364/3310/374403/23526/203068/5265/10533/140885/1378/3303/5004/150372/80301/100049587/23601,91,up,Reactome,EBV.nasal,FALSE,1,11.43599899747149,11.43599899747149
R-HSA-67837833,R-HSA-6783783,Interleukin-10 signaling,22/751,40/8368,1.64595868173053e-13,3.3676314628206496e-11,2.7998623470279298e-11,7133/3383/7076/1440/3587/3552/6364/941/729230/3553/3557/1234/2919/1230/5724/2357/1435/7124/6352/6351/6349/6348,22,up,Reactome,EBV.nasal,FALSE,1,10.472675441644121,10.472675441644121
