"","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","virus","knock_in"
"87564","ENSG00000025156",-0.295805012671732,4.41388988771881,-3.70992836602113,0.000213072729908288,0.00139636161156406,0.224274500129122,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87565","ENSG00000025293",0.0537756549992425,5.90900711423084,1.23505420278969,0.216957876453975,0.313264405371036,-5.92827627358039,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87566","ENSG00000025434",0.143221799067836,2.57280814897435,1.97567798683235,0.0483308661562463,0.0954334267986005,-4.39715333976493,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87567","ENSG00000025708",0.500013017020698,6.92845228569594,5.22044225071567,1.97337254949333e-07,8.00869546692417e-06,6.6387302203855,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87568","ENSG00000025770",0.170546155074179,4.34015598575429,2.46939348239221,0.0136186179279286,0.0346705624452208,-3.50004646390056,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87569","ENSG00000025772",-0.110969865360901,5.19537791158357,-1.40540582644867,0.160058599273884,0.245875596199013,-5.56543426119473,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87570","ENSG00000025796",-0.229773637218213,6.67183067477621,-4.24121600718153,2.32626593190185e-05,0.000254505404552725,2.12829054781082,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87571","ENSG00000025800",-0.0866005103485413,6.39935836840635,-2.59636354457619,0.00949181406727794,0.0261137221328311,-3.37870062652155,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87572","ENSG00000026025",0.486069273953062,6.16383133440143,4.05728698311423,5.15866389976928e-05,0.000469612956138771,1.38207527572373,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87573","ENSG00000026036",-0.0486854723770019,0.367770826647848,-0.436478566499856,0.66253746441137,0.740860988257738,-6.02287306725363,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87574","ENSG00000026103",0.286964311962108,4.91007098682448,3.1671150768668,0.00156321125945783,0.00638871909667026,-1.68608907126904,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87575","ENSG00000026297",0.231814239560519,5.05512728307751,2.58139630784175,0.00991195929263573,0.0270392145254796,-3.33011185464226,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87576","ENSG00000026508",0.403046723450993,8.39628579814885,4.69481544311014,2.8527796253511e-06,5.63449358898812e-05,4.12224977419358,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87577","ENSG00000026559",0.05389980683465,-0.919959121724674,0.520268059111754,0.602935321671109,0.69042211351715,-5.92750731261545,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87578","ENSG00000026652",0.175893408353871,3.00355642263407,2.12932405100198,0.0333513717891648,0.0708736493393668,-4.23523561258486,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87579","ENSG00000026751",0.917364430318384,3.95962551082473,6.70693356616575,2.58960553416377e-11,1.63584255677675e-08,15.2480630510384,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87580","ENSG00000026950",0.062950060421455,5.53309167403886,0.819452774888727,0.412627439724597,0.517702119708991,-6.33080173762107,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
"87581","ENSG00000027001",-0.365630763940209,5.44795342725359,-2.85062077211447,0.00440889495190194,0.0143625190036285,-2.61372681151591,"Human alphaherpesvirus 1 (HSV1).nasal",FALSE
