"","group_id","timepoint","shannon"
"341","Other ABX","Day 0-2",1.08398071030419
"342","Other ABX","Day 0-2",0.464160174566893
"343","No ABX","Day 0-2",0.530394984130274
"344","No ABX","Day 4-6",1.27338769547326
"345","Azithromycin","Day 0-2",0
"346","Other ABX","Day 0-2",0.0900432040778791
"347","Other ABX","Day 0-2",1.31618298843929
"348","Other ABX","Day 0-2",0
"349","No ABX","Day 4-6",1.33459058949231
"350","No ABX","Day 0-2",1.09120244142121
"351","Other ABX","Day 0-2",1.92419396034746
"352","Azithromycin","Day 0-2",0
"353","Azithromycin","Day 4-6",2.04814356236166
"354","Azithromycin","Day 0-2",0.520565422953938
"355","No ABX","Day 0-2",1.90615474653985
"356","Other ABX","Day 0-2",0
"357","Other ABX","Day 0-2",0
"358","No ABX","Day 4-6",1.27703425946614
"359","Azithromycin","Day 0-2",1.09478022600795
"360","Other ABX","Day 4-6",1.38629436111989
"361","Azithromycin","Day 0-2",1.27475715478002
"362","Other ABX","Day 0-2",0.562335144618808
"363","Other ABX","Day 0-2",0
"364","Other ABX","Day 0-2",0
"365","Azithromycin","Day 4-6",1.67181726600384
"366","Other ABX","Day 4-6",1.61914056388743
"367","Other ABX","Day 0-2",0
"368","Other ABX","Day 4-6",0.636514168294813
"369","No ABX","Day 0-2",1.78796892851948
"370","No ABX","Day 4-6",0.655817537458162
"371","Other ABX","Day 0-2",1.09861228866811
"372","Other ABX","Day 4-6",0
"373","Other ABX","Day 0-2",1.05492016798614
"374","Azithromycin","Day 0-2",0
"375","Azithromycin","Day 0-2",0
"376","Azithromycin","Day 4-6",1.2130075659799
"377","Azithromycin","Day 4-6",2.00406590674667
"378","Azithromycin","Day 0-2",0.304636097349238
"379","Azithromycin","Day 0-2",1.93832517795117
"380","Azithromycin","Day 0-2",1.96874407377709
"381","Other ABX","Day 0-2",1.38629436111989
"382","Other ABX","Day 0-2",1.94656229049327
"383","Azithromycin","Day 0-2",1.05492016798614
"384","Azithromycin","Day 4-6",1.03972077083992
"385","Other ABX","Day 4-6",0
"386","No ABX","Day 0-2",1.09861228866811
"387","No ABX","Day 4-6",0
"388","Azithromycin","Day 0-2",0
"389","Azithromycin","Day 4-6",0.693147180559945
"390","Azithromycin","Day 0-2",0.693147180559945
"391","Azithromycin","Day 4-6",1.54787951667127
"392","Azithromycin","Day 4-6",1.03356205420682
"393","Azithromycin","Day 0-2",1.63263092715435
"394","Azithromycin","Day 0-2",0.699632244224975
"395","Azithromycin","Day 0-2",1.75560827266897
"396","Azithromycin","Day 0-2",1.79175946922806
"397","No ABX","Day 0-2",1.3705917578573
"398","Other ABX","Day 0-2",1.86041901078138
