"Module","Analysis","P value","Q value","Direction"
"mod1","Longitudinal analysis - 2|4 average",6.77358909448724e-09,2.46752174156321e-07,"Mild"
"mod1","Longitudinal analysis - 2|5 average",1.15412741691022e-11,1.16012697218159e-09,"Mild"
"mod1","Longitudinal analysis - 2|5 shape",1.17799234632294e-09,2.00258698874901e-07,"Mild"
"mod1","Longitudinal analysis - 3|4 average",2.80732379902173e-08,7.95408409722824e-07,"Mild"
"mod1","Longitudinal analysis - 3|4 shape",0.0492256188436421,0.148112481476445,"Mild"
"mod1","Longitudinal analysis - 3|5 average",1.57786682159656e-09,7.31556435467497e-08,"Mild"
"mod1","Longitudinal analysis - 3|5 shape",1.57652256581332e-06,4.89322665011216e-05,"Mild"
"mod1","Longitudinal analysis - 4|5 average",0.00140560353657008,0.0104650774255582,"Severe"
"mod1","Longitudinal analysis - 4|5 shape",1.14066911944396e-05,0.000184679762195689,"Mild"
"mod10","Longitudinal analysis - 1|2 average",0.000198462642401581,0.00204476661868296,"Mild"
"mod10","Longitudinal analysis - 1|2 shape",5.93958020196622e-06,0.000112192070481584,"Severe"
"mod10","Longitudinal analysis - 1|3 average",0.000123063231225497,0.00136439669402181,"Mild"
"mod10","Longitudinal analysis - 1|4 average",3.72523408890463e-12,4.74967346335341e-10,"Mild"
"mod10","Longitudinal analysis - 1|4 shape",0.0432028608006432,0.134761217176318,"Severe"
"mod10","Longitudinal analysis - 1|5 average",1.25111732294093e-11,1.16012697218159e-09,"Mild"
"mod10","Longitudinal analysis - 1|5 shape",1.58310273974217e-06,4.89322665011216e-05,"Mild"
"mod10","Longitudinal analysis - 2|4 average",2.49742134087819e-09,1.06140406987323e-07,"Mild"
"mod10","Longitudinal analysis - 2|5 average",2.11493634453662e-10,1.3482719196421e-08,"Mild"
"mod10","Longitudinal analysis - 2|5 shape",2.53716881341601e-07,1.43772899426907e-05,"Mild"
"mod10","Longitudinal analysis - 3|4 average",9.00992215654989e-08,2.29753014992022e-06,"Mild"
"mod10","Longitudinal analysis - 3|4 shape",0.0332048196152104,0.109608142419141,"Mild"
"mod10","Longitudinal analysis - 3|5 average",8.55412529206573e-08,2.23723276869411e-06,"Mild"
"mod10","Longitudinal analysis - 3|5 shape",3.67649990520894e-07,1.5625124597138e-05,"Mild"
"mod10","Longitudinal analysis - 4|5 average",0.0110376946052569,0.0557348935512973,"Severe"
"mod10","Longitudinal analysis - 4|5 shape",0.000943913189664798,0.00682830818055386,"Mild"
"mod11","Longitudinal analysis - 1|2 average",0.0200198138763859,0.0868945112932496,"Severe"
"mod11","Longitudinal analysis - 1|3 average",0.00664457547888277,0.0378629440696113,"Severe"
"mod11","Longitudinal analysis - 1|4 average",0.00271689235361666,0.0181126156907777,"Severe"
"mod11","Longitudinal analysis - 1|5 average",2.00362310592722e-05,0.000276175076762941,"Severe"
"mod11","Longitudinal analysis - 2|4 average",0.0433507564426217,0.146416462157199,"Severe"
"mod11","Longitudinal analysis - 2|5 average",0.0219460972571388,0.092500079348271,"Severe"
"mod11","Longitudinal analysis - 3|4 average",0.0288415518811983,0.111012765731405,"Severe"
"mod12","Longitudinal analysis - 1|3 average",0.0376503109832751,0.133344851399099,"Severe"
"mod12","Longitudinal analysis - 1|4 average",2.38746485403829e-07,5.18130670450862e-06,"Severe"
