Module,Feature
mod0,ENSG00000155729
mod0,ENSG00000155760
mod0,ENSG00000155761
mod0,ENSG00000155792
mod0,ENSG00000155827
mod0,ENSG00000155858
mod0,ENSG00000156113
mod0,ENSG00000156136
mod0,ENSG00000156234
mod0,ENSG00000156453
mod0,ENSG00000156603
mod0,ENSG00000156869
mod0,ENSG00000156886
mod0,ENSG00000156968
mod0,ENSG00000157181
mod0,ENSG00000157193
mod0,ENSG00000157315
mod0,ENSG00000157379
mod0,ENSG00000157404
mod0,ENSG00000157653
mod0,ENSG00000157741
mod0,ENSG00000157927
mod0,ENSG00000157999
mod0,ENSG00000158423
mod0,ENSG00000158485
mod0,ENSG00000158545
mod0,ENSG00000158571
mod0,ENSG00000158623
mod0,ENSG00000158636
mod0,ENSG00000158773
mod0,ENSG00000158805
mod0,ENSG00000158865
mod0,ENSG00000158966
mod0,ENSG00000159069
mod0,ENSG00000159164
mod0,ENSG00000159214
mod0,ENSG00000159256
mod0,ENSG00000159307
mod0,ENSG00000159363
mod0,ENSG00000159459
mod0,ENSG00000159648
mod0,ENSG00000159723
mod0,ENSG00000159761
mod0,ENSG00000159792
mod0,ENSG00000159871
mod0,ENSG00000159873
mod0,ENSG00000159905
mod0,ENSG00000160051
mod0,ENSG00000160094
mod0,ENSG00000160113
mod0,ENSG00000160124
mod0,ENSG00000160201
mod0,ENSG00000160221
mod0,ENSG00000160223
mod0,ENSG00000160229
mod0,ENSG00000160284
mod0,ENSG00000160305
mod0,ENSG00000160310
mod0,ENSG00000160345
mod0,ENSG00000160352
mod0,ENSG00000160392
mod0,ENSG00000160447
mod0,ENSG00000160460
mod0,ENSG00000160539
mod0,ENSG00000160679
mod0,ENSG00000160695
mod0,ENSG00000160752
mod0,ENSG00000160813
mod0,ENSG00000160867
mod0,ENSG00000160993
mod0,ENSG00000161180
mod0,ENSG00000161265
mod0,ENSG00000161281
mod0,ENSG00000161513
mod0,ENSG00000161544
mod0,ENSG00000161664
mod0,ENSG00000161847
mod0,ENSG00000161860
mod0,ENSG00000161904
mod0,ENSG00000161956
mod0,ENSG00000162032
mod0,ENSG00000162066
mod0,ENSG00000162076
mod0,ENSG00000162148
mod0,ENSG00000162174
mod0,ENSG00000162520
mod0,ENSG00000162522
mod0,ENSG00000162543
mod0,ENSG00000162601
mod0,ENSG00000162616
mod0,ENSG00000162627
mod0,ENSG00000162630
mod0,ENSG00000162757
mod0,ENSG00000162885
mod0,ENSG00000162927
mod0,ENSG00000162928
mod0,ENSG00000162929
mod0,ENSG00000162931
mod0,ENSG00000162944
mod0,ENSG00000163026
mod0,ENSG00000163050
mod0,ENSG00000163082
mod0,ENSG00000163328
mod0,ENSG00000163346
mod0,ENSG00000163380
mod0,ENSG00000163406
mod0,ENSG00000163472
mod0,ENSG00000163576
mod0,ENSG00000163606
mod0,ENSG00000163624
mod0,ENSG00000163684
mod0,ENSG00000163734
mod0,ENSG00000163746
mod0,ENSG00000163755
mod0,ENSG00000163818
mod0,ENSG00000163870
mod0,ENSG00000163975
mod0,ENSG00000164008
mod0,ENSG00000164050
mod0,ENSG00000164053
mod0,ENSG00000164056
mod0,ENSG00000164078
mod0,ENSG00000164112
mod0,ENSG00000164118
mod0,ENSG00000164120
mod0,ENSG00000164142
mod0,ENSG00000164169
mod0,ENSG00000164199
mod0,ENSG00000164220
mod0,ENSG00000164265
mod0,ENSG00000164283
mod0,ENSG00000164292
mod0,ENSG00000164296
mod0,ENSG00000164308
mod0,ENSG00000164309
mod0,ENSG00000164404
