"","Clinical Variable","Rate of Clinical Event in Virus Negative Participants","Rate of Clinical Event in Virus Positive Participants","Percent Difference","virus"
"272","comp_seizure","0.5% (5/918)","0% (0/101)",-0.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"273","comp_meningitis","1.2% (11/918)","2% (2/101)",0.8,"Human alphaherpesvirus 1 (HSV1).nasal"
"274","comp_stroke","1.5% (14/918)","5% (5/101)",3.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"275","comp_afib","7.5% (69/918)","10.9% (11/101)",3.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"276","comp_ventricular_arr","2.6% (24/918)","9.9% (10/101)",7.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"277","comp_endo","0.1% (1/918)","0% (0/101)",-0.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"278","comp_myocard","0.4% (4/918)","0% (0/101)",-0.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"279","comp_cardarrest","3.3% (30/918)","5% (5/101)",1.7,"Human alphaherpesvirus 1 (HSV1).nasal"
"280","comp_stemi","1.1% (10/918)","2% (2/101)",0.9,"Human alphaherpesvirus 1 (HSV1).nasal"
"281","comp_nstemi","2.6% (24/918)","3% (3/101)",0.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"282","comp_chf","6% (55/918)","13.9% (14/101)",7.9,"Human alphaherpesvirus 1 (HSV1).nasal"
"283","comp_pneumonia","67% (615/918)","78.2% (79/101)",11.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"284","comp_bronch","0.4% (4/918)","1% (1/101)",0.6,"Human alphaherpesvirus 1 (HSV1).nasal"
"285","comp_pneumo","2.5% (23/918)","5.9% (6/101)",3.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"286","comp_pneumomed","1% (9/918)","3% (3/101)",2,"Human alphaherpesvirus 1 (HSV1).nasal"
"287","comp_aat","0.7% (6/918)","1% (1/101)",0.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"288","comp_avthromb","5.3% (49/918)","18.8% (19/101)",13.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"289","comp_shock","13.1% (120/918)","39.6% (40/101)",26.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"290","comp_bac","10.5% (96/918)","23.8% (24/101)",13.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"291","comp_coag","3.5% (32/918)","5% (5/101)",1.5,"Human alphaherpesvirus 1 (HSV1).nasal"
"292","comp_hypogly","1.1% (10/918)","5% (5/101)",3.9,"Human alphaherpesvirus 1 (HSV1).nasal"
"293","comp_bleed","5.3% (49/918)","9.9% (10/101)",4.6,"Human alphaherpesvirus 1 (HSV1).nasal"
"294","comp_anemia","13.7% (126/918)","21.8% (22/101)",8.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"295","comp_pancreas","0.7% (6/918)","0% (0/101)",-0.7,"Human alphaherpesvirus 1 (HSV1).nasal"
"296","comp_renal","20% (184/918)","35.6% (36/101)",15.6,"Human alphaherpesvirus 1 (HSV1).nasal"
"297","comp_liver","11.7% (107/918)","18.8% (19/101)",7.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"298","comp_othlab","3.9% (36/918)","6.9% (7/101)",3,"Human alphaherpesvirus 1 (HSV1).nasal"
"299","comp_electrolyte","3.7% (34/918)","5.9% (6/101)",2.2,"Human alphaherpesvirus 1 (HSV1).nasal"
"300","comp_othinf","2.6% (24/918)","7.9% (8/101)",5.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"301","comp_othpulm","0.1% (1/918)","0% (0/101)",-0.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"302","comp_unddisease","1.4% (13/918)","1% (1/101)",-0.4,"Human alphaherpesvirus 1 (HSV1).nasal"
"303","comp_enceph","1.9% (17/918)","5.9% (6/101)",4.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"304","comp_othneuro","0.8% (7/918)","0% (0/101)",-0.8,"Human alphaherpesvirus 1 (HSV1).nasal"
"305","comp_hypergly","3.9% (36/918)","8.9% (9/101)",5,"Human alphaherpesvirus 1 (HSV1).nasal"
"306","comp_psych","0.3% (3/918)","0% (0/101)",-0.3,"Human alphaherpesvirus 1 (HSV1).nasal"
"307","comp_gastroent","1.1% (10/918)","1% (1/101)",-0.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"308","comp_pulmvas","0% (0/918)","1% (1/101)",1,"Human alphaherpesvirus 1 (HSV1).nasal"
"309","comp_other2","1.9% (17/918)","2% (2/101)",0.1,"Human alphaherpesvirus 1 (HSV1).nasal"
"310","comorb_htn","57.6% (590/1025)","50% (2/4)",-7.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"311","comorb_isaric_dm","37.2% (381/1025)","75% (3/4)",37.8,"Human alphaherpesvirus 2 (HSV2).nasal"
"312","comorb_anyresp_noasthma","20% (205/1025)","25% (1/4)",5,"Human alphaherpesvirus 2 (HSV2).nasal"
"313","comorb_isaric_asthma","14.4% (148/1025)","25% (1/4)",10.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"314","comorb_isaric_cardiac","27.3% (280/1025)","50% (2/4)",22.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"315","comorb_isaric_ckd","15.1% (155/1025)","25% (1/4)",9.9,"Human alphaherpesvirus 2 (HSV2).nasal"
"316","comorb_isaric_neoplasm","9.9% (101/1025)","25% (1/4)",15.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"317","comorb_neuro","12% (123/1025)","0% (0/4)",-12,"Human alphaherpesvirus 2 (HSV2).nasal"
"318","comorb_isaric_liver","5% (51/1025)","0% (0/4)",-5,"Human alphaherpesvirus 2 (HSV2).nasal"
"319","comorb_hxtrans","5.7% (58/1025)","0% (0/4)",-5.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"320","comorb_hiv2","1.3% (13/1025)","0% (0/4)",-1.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"321","comorb_eversmkvape","32.3% (331/1025)","50% (2/4)",17.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"322","comorb_anysubstance","7.2% (74/1025)","0% (0/4)",-7.2,"Human alphaherpesvirus 2 (HSV2).nasal"
"323","comorb_count","14.4% (148/1025)","0% (0/4)",-14.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"324","comorb_countcat","14.4% (148/1025)","0% (0/4)",-14.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"325","timesymptomcat","20.7% (212/1025)","0% (0/4)",-20.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"326","symptom_allresp","87% (892/1025)","75% (3/4)",-12,"Human alphaherpesvirus 2 (HSV2).nasal"
"327","symptom_cough","60.6% (621/1025)","75% (3/4)",14.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"328","symptom_cough_prod","14.5% (149/1025)","0% (0/4)",-14.5,"Human alphaherpesvirus 2 (HSV2).nasal"
"329","symptom_haemoptysis","2% (21/1025)","0% (0/4)",-2,"Human alphaherpesvirus 2 (HSV2).nasal"
"330","symptom_sorethroat","8.2% (84/1025)","0% (0/4)",-8.2,"Human alphaherpesvirus 2 (HSV2).nasal"
"331","symptom_rhinorrhea","5.2% (53/1025)","0% (0/4)",-5.2,"Human alphaherpesvirus 2 (HSV2).nasal"
"332","symptom_wheeze","5.1% (52/1025)","0% (0/4)",-5.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"333","symptom_chestpain","19.5% (200/1025)","0% (0/4)",-19.5,"Human alphaherpesvirus 2 (HSV2).nasal"
"334","symptom_dyspnea","71.7% (735/1025)","75% (3/4)",3.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"335","symptom_chestwall","0.1% (1/1023)","0% (0/4)",-0.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"336","symptom_earpain","0.3% (3/1025)","0% (0/4)",-0.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"337","symptom_conjunctivitis","0.1% (1/1025)","0% (0/4)",-0.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"338","symptom_allsyst","72.1% (739/1025)","50% (2/4)",-22.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"339","symptom_fever","49.6% (508/1025)","50% (2/4)",0.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"340","symptom_chills","23.9% (245/1025)","25% (1/4)",1.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"341","symptom_shaking","0.9% (9/1024)","0% (0/4)",-0.9,"Human alphaherpesvirus 2 (HSV2).nasal"
"342","symptom_fatigue","41.6% (426/1025)","25% (1/4)",-16.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"343","symptom_myalgia","23.4% (240/1025)","25% (1/4)",1.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"344","symptom_lymphadenopathy","0.1% (1/1025)","0% (0/4)",-0.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"345","symptom_allneuro","30.7% (315/1025)","50% (2/4)",19.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"346","symptom_headache","16.9% (173/1025)","25% (1/4)",8.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"347","symptom_confusion","5.5% (56/1025)","25% (1/4)",19.5,"Human alphaherpesvirus 2 (HSV2).nasal"
"348","symptom_seizure","0.2% (2/1025)","0% (0/4)",-0.2,"Human alphaherpesvirus 2 (HSV2).nasal"
"349","symptom_syncope","1.7% (17/1025)","25% (1/4)",23.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"350","symptom_anosmia","10.7% (110/1025)","25% (1/4)",14.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"351","symptom_allGI","38.8% (398/1025)","25% (1/4)",-13.8,"Human alphaherpesvirus 2 (HSV2).nasal"
"352","symptom_abdpain","9.4% (96/1025)","0% (0/4)",-9.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"353","symptom_nausea","22% (225/1025)","25% (1/4)",3,"Human alphaherpesvirus 2 (HSV2).nasal"
"354","symptom_diarrhea","21.9% (224/1025)","0% (0/4)",-21.9,"Human alphaherpesvirus 2 (HSV2).nasal"
"355","symptom_allderm","0.9% (9/1025)","0% (0/4)",-0.9,"Human alphaherpesvirus 2 (HSV2).nasal"
"356","symptom_skinrash","0.6% (6/1025)","0% (0/4)",-0.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"357","symptom_skinulcer","0.3% (3/1025)","0% (0/4)",-0.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"358","symptom_allother","8% (82/1025)","25% (1/4)",17,"Human alphaherpesvirus 2 (HSV2).nasal"
"359","symptom_arthralgia","3.7% (38/1025)","25% (1/4)",21.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"360","symptom_edema","2% (21/1025)","0% (0/4)",-2,"Human alphaherpesvirus 2 (HSV2).nasal"
"361","symptom_nonamb","2.3% (24/1025)","0% (0/4)",-2.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"362","symptom_bleeding","0.3% (3/1025)","0% (0/4)",-0.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"363","ever_ever_esc","16.5% (169/1025)","50% (2/4)",33.5,"Human alphaherpesvirus 2 (HSV2).nasal"
"364","ever_icu","36.4% (373/1025)","50% (2/4)",13.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"365","diedever","15% (154/1025)","50% (2/4)",35,"Human alphaherpesvirus 2 (HSV2).nasal"
"366","ever_remdes","62.3% (639/1025)","50% (2/4)",-12.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"367","ever_steroids","69.1% (708/1025)","100% (4/4)",30.9,"Human alphaherpesvirus 2 (HSV2).nasal"
"368","ever_azithro","32.8% (336/1025)","0% (0/4)",-32.8,"Human alphaherpesvirus 2 (HSV2).nasal"
"369","ever_otherabx","56.7% (581/1025)","75% (3/4)",18.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"370","ever_conplas","7.7% (79/1025)","0% (0/4)",-7.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"371","ever_monoclonal","0.5% (5/1025)","0% (0/4)",-0.5,"Human alphaherpesvirus 2 (HSV2).nasal"
"372","ever_immsupp","6.8% (70/1025)","0% (0/4)",-6.8,"Human alphaherpesvirus 2 (HSV2).nasal"
"373","anycomp","85.6% (877/1025)","75% (3/4)",-10.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"374","ncomp","18.3% (188/1025)","0% (0/4)",-18.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"375","comp_seizure","0.5% (5/1025)","0% (0/4)",-0.5,"Human alphaherpesvirus 2 (HSV2).nasal"
"376","comp_meningitis","1.2% (12/1025)","25% (1/4)",23.8,"Human alphaherpesvirus 2 (HSV2).nasal"
"377","comp_stroke","1.8% (18/1025)","25% (1/4)",23.2,"Human alphaherpesvirus 2 (HSV2).nasal"
"378","comp_afib","7.7% (79/1025)","25% (1/4)",17.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"379","comp_ventricular_arr","3.3% (34/1025)","0% (0/4)",-3.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"380","comp_endo","0.1% (1/1025)","0% (0/4)",-0.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"381","comp_myocard","0.4% (4/1025)","0% (0/4)",-0.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"382","comp_cardarrest","3.4% (35/1025)","0% (0/4)",-3.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"383","comp_stemi","1.1% (11/1025)","25% (1/4)",23.9,"Human alphaherpesvirus 2 (HSV2).nasal"
"384","comp_nstemi","2.6% (27/1025)","0% (0/4)",-2.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"385","comp_chf","6.7% (69/1025)","0% (0/4)",-6.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"386","comp_pneumonia","68.1% (698/1025)","50% (2/4)",-18.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"387","comp_bronch","0.5% (5/1025)","0% (0/4)",-0.5,"Human alphaherpesvirus 2 (HSV2).nasal"
"388","comp_pneumo","2.8% (29/1025)","0% (0/4)",-2.8,"Human alphaherpesvirus 2 (HSV2).nasal"
"389","comp_pneumomed","1.2% (12/1025)","0% (0/4)",-1.2,"Human alphaherpesvirus 2 (HSV2).nasal"
"390","comp_aat","0.7% (7/1025)","0% (0/4)",-0.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"391","comp_avthromb","6.7% (69/1025)","0% (0/4)",-6.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"392","comp_shock","15.6% (160/1025)","25% (1/4)",9.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"393","comp_bac","11.4% (117/1025)","75% (3/4)",63.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"394","comp_coag","3.6% (37/1025)","0% (0/4)",-3.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"395","comp_hypogly","1.5% (15/1025)","0% (0/4)",-1.5,"Human alphaherpesvirus 2 (HSV2).nasal"
"396","comp_bleed","5.6% (57/1025)","50% (2/4)",44.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"397","comp_anemia","14.4% (148/1025)","0% (0/4)",-14.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"398","comp_pancreas","0.6% (6/1025)","0% (0/4)",-0.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"399","comp_renal","21.5% (220/1025)","25% (1/4)",3.5,"Human alphaherpesvirus 2 (HSV2).nasal"
"400","comp_liver","12.6% (129/1025)","0% (0/4)",-12.6,"Human alphaherpesvirus 2 (HSV2).nasal"
"401","comp_othlab","4.2% (43/1025)","0% (0/4)",-4.2,"Human alphaherpesvirus 2 (HSV2).nasal"
"402","comp_electrolyte","3.9% (40/1025)","0% (0/4)",-3.9,"Human alphaherpesvirus 2 (HSV2).nasal"
"403","comp_othinf","3.1% (32/1025)","0% (0/4)",-3.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"404","comp_othpulm","0.1% (1/1025)","0% (0/4)",-0.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"405","comp_unddisease","1.4% (14/1025)","0% (0/4)",-1.4,"Human alphaherpesvirus 2 (HSV2).nasal"
"406","comp_enceph","2.2% (23/1025)","0% (0/4)",-2.2,"Human alphaherpesvirus 2 (HSV2).nasal"
"407","comp_othneuro","0.7% (7/1025)","0% (0/4)",-0.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"408","comp_hypergly","4.3% (44/1025)","25% (1/4)",20.7,"Human alphaherpesvirus 2 (HSV2).nasal"
"409","comp_psych","0.3% (3/1025)","0% (0/4)",-0.3,"Human alphaherpesvirus 2 (HSV2).nasal"
"410","comp_gastroent","1.1% (11/1025)","0% (0/4)",-1.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"411","comp_pulmvas","0.1% (1/1025)","0% (0/4)",-0.1,"Human alphaherpesvirus 2 (HSV2).nasal"
"412","comp_other2","1.9% (19/1025)","0% (0/4)",-1.9,"Human alphaherpesvirus 2 (HSV2).nasal"
"413","comorb_htn","57.3% (578/1008)","68.2% (15/22)",10.8,"Human betaherpesvirus 5 (CMV).nasal"
"414","comorb_isaric_dm","37.4% (377/1008)","31.8% (7/22)",-5.6,"Human betaherpesvirus 5 (CMV).nasal"
"415","comorb_anyresp_noasthma","20% (202/1008)","22.7% (5/22)",2.7,"Human betaherpesvirus 5 (CMV).nasal"
"416","comorb_isaric_asthma","14.6% (147/1008)","13.6% (3/22)",-0.9,"Human betaherpesvirus 5 (CMV).nasal"
"417","comorb_isaric_cardiac","27.5% (277/1008)","22.7% (5/22)",-4.8,"Human betaherpesvirus 5 (CMV).nasal"
"418","comorb_isaric_ckd","15.1% (152/1008)","18.2% (4/22)",3.1,"Human betaherpesvirus 5 (CMV).nasal"
"419","comorb_isaric_neoplasm","9.9% (100/1008)","9.1% (2/22)",-0.8,"Human betaherpesvirus 5 (CMV).nasal"
"420","comorb_neuro","12.1% (122/1008)","4.5% (1/22)",-7.6,"Human betaherpesvirus 5 (CMV).nasal"
"421","comorb_isaric_liver","4.9% (49/1008)","9.1% (2/22)",4.2,"Human betaherpesvirus 5 (CMV).nasal"
"422","comorb_hxtrans","5.7% (57/1008)","4.5% (1/22)",-1.1,"Human betaherpesvirus 5 (CMV).nasal"
"423","comorb_hiv2","1.3% (13/1008)","0% (0/22)",-1.3,"Human betaherpesvirus 5 (CMV).nasal"
"424","comorb_eversmkvape","32.6% (329/1008)","18.2% (4/22)",-14.5,"Human betaherpesvirus 5 (CMV).nasal"
"425","comorb_anysubstance","7.3% (74/1008)","0% (0/22)",-7.3,"Human betaherpesvirus 5 (CMV).nasal"
"426","comorb_count","14.5% (146/1008)","9.1% (2/22)",-5.4,"Human betaherpesvirus 5 (CMV).nasal"
"427","comorb_countcat","14.5% (146/1008)","9.1% (2/22)",-5.4,"Human betaherpesvirus 5 (CMV).nasal"
"428","timesymptomcat","21% (212/1008)","0% (0/22)",-21,"Human betaherpesvirus 5 (CMV).nasal"
"429","symptom_allresp","87.2% (879/1008)","72.7% (16/22)",-14.5,"Human betaherpesvirus 5 (CMV).nasal"
"430","symptom_cough","61.1% (616/1008)","36.4% (8/22)",-24.7,"Human betaherpesvirus 5 (CMV).nasal"
"431","symptom_cough_prod","14.7% (148/1008)","4.5% (1/22)",-10.1,"Human betaherpesvirus 5 (CMV).nasal"
"432","symptom_haemoptysis","2.1% (21/1008)","0% (0/22)",-2.1,"Human betaherpesvirus 5 (CMV).nasal"
"433","symptom_sorethroat","8.3% (84/1008)","0% (0/22)",-8.3,"Human betaherpesvirus 5 (CMV).nasal"
"434","symptom_rhinorrhea","5.2% (52/1008)","4.5% (1/22)",-0.6,"Human betaherpesvirus 5 (CMV).nasal"
"435","symptom_wheeze","5.2% (52/1008)","0% (0/22)",-5.2,"Human betaherpesvirus 5 (CMV).nasal"
"436","symptom_chestpain","19.3% (195/1008)","22.7% (5/22)",3.4,"Human betaherpesvirus 5 (CMV).nasal"
"437","symptom_dyspnea","71.7% (723/1008)","68.2% (15/22)",-3.5,"Human betaherpesvirus 5 (CMV).nasal"
"438","symptom_chestwall","0.1% (1/1006)","0% (0/22)",-0.1,"Human betaherpesvirus 5 (CMV).nasal"
"439","symptom_earpain","0.2% (2/1008)","4.5% (1/22)",4.3,"Human betaherpesvirus 5 (CMV).nasal"
"440","symptom_conjunctivitis","0.1% (1/1008)","0% (0/22)",-0.1,"Human betaherpesvirus 5 (CMV).nasal"
"441","symptom_allsyst","72.4% (730/1008)","50% (11/22)",-22.4,"Human betaherpesvirus 5 (CMV).nasal"
"442","symptom_fever","49.8% (502/1008)","36.4% (8/22)",-13.4,"Human betaherpesvirus 5 (CMV).nasal"
"443","symptom_chills","24.1% (243/1008)","13.6% (3/22)",-10.5,"Human betaherpesvirus 5 (CMV).nasal"
"444","symptom_shaking","0.9% (9/1007)","0% (0/22)",-0.9,"Human betaherpesvirus 5 (CMV).nasal"
"445","symptom_fatigue","41.9% (422/1008)","22.7% (5/22)",-19.1,"Human betaherpesvirus 5 (CMV).nasal"
"446","symptom_myalgia","23.7% (239/1008)","9.1% (2/22)",-14.6,"Human betaherpesvirus 5 (CMV).nasal"
"447","symptom_lymphadenopathy","0.1% (1/1008)","0% (0/22)",-0.1,"Human betaherpesvirus 5 (CMV).nasal"
"448","symptom_allneuro","31.1% (313/1008)","18.2% (4/22)",-12.9,"Human betaherpesvirus 5 (CMV).nasal"
"449","symptom_headache","17.1% (172/1008)","9.1% (2/22)",-8,"Human betaherpesvirus 5 (CMV).nasal"
"450","symptom_confusion","5.6% (56/1008)","4.5% (1/22)",-1,"Human betaherpesvirus 5 (CMV).nasal"
"451","symptom_seizure","0.2% (2/1008)","0% (0/22)",-0.2,"Human betaherpesvirus 5 (CMV).nasal"
"452","symptom_syncope","1.8% (18/1008)","0% (0/22)",-1.8,"Human betaherpesvirus 5 (CMV).nasal"
"453","symptom_anosmia","10.9% (110/1008)","4.5% (1/22)",-6.4,"Human betaherpesvirus 5 (CMV).nasal"
"454","symptom_allGI","39.3% (396/1008)","13.6% (3/22)",-25.6,"Human betaherpesvirus 5 (CMV).nasal"
"455","symptom_abdpain","9.4% (95/1008)","4.5% (1/22)",-4.9,"Human betaherpesvirus 5 (CMV).nasal"
"456","symptom_nausea","22.3% (225/1008)","4.5% (1/22)",-17.8,"Human betaherpesvirus 5 (CMV).nasal"
"457","symptom_diarrhea","22.1% (223/1008)","4.5% (1/22)",-17.6,"Human betaherpesvirus 5 (CMV).nasal"
"458","symptom_allderm","0.8% (8/1008)","4.5% (1/22)",3.8,"Human betaherpesvirus 5 (CMV).nasal"
"459","symptom_skinrash","0.5% (5/1008)","4.5% (1/22)",4,"Human betaherpesvirus 5 (CMV).nasal"
"460","symptom_skinulcer","0.3% (3/1008)","0% (0/22)",-0.3,"Human betaherpesvirus 5 (CMV).nasal"
"461","symptom_allother","8.2% (83/1008)","0% (0/22)",-8.2,"Human betaherpesvirus 5 (CMV).nasal"
"462","symptom_arthralgia","3.9% (39/1008)","0% (0/22)",-3.9,"Human betaherpesvirus 5 (CMV).nasal"
"463","symptom_edema","2.1% (21/1008)","0% (0/22)",-2.1,"Human betaherpesvirus 5 (CMV).nasal"
"464","symptom_nonamb","2.4% (24/1008)","0% (0/22)",-2.4,"Human betaherpesvirus 5 (CMV).nasal"
"465","symptom_bleeding","0.3% (3/1008)","0% (0/22)",-0.3,"Human betaherpesvirus 5 (CMV).nasal"
"466","ever_ever_esc","16.2% (163/1008)","36.4% (8/22)",20.2,"Human betaherpesvirus 5 (CMV).nasal"
"467","ever_icu","35.3% (356/1008)","90.9% (20/22)",55.6,"Human betaherpesvirus 5 (CMV).nasal"
"468","diedever","14.2% (143/1008)","63.6% (14/22)",49.4,"Human betaherpesvirus 5 (CMV).nasal"
"469","ever_remdes","62.4% (629/1008)","54.5% (12/22)",-7.9,"Human betaherpesvirus 5 (CMV).nasal"
"470","ever_steroids","69.2% (698/1008)","68.2% (15/22)",-1.1,"Human betaherpesvirus 5 (CMV).nasal"
"471","ever_azithro","33% (333/1008)","13.6% (3/22)",-19.4,"Human betaherpesvirus 5 (CMV).nasal"
"472","ever_otherabx","56.3% (568/1008)","77.3% (17/22)",20.9,"Human betaherpesvirus 5 (CMV).nasal"
"473","ever_conplas","7.5% (76/1008)","13.6% (3/22)",6.1,"Human betaherpesvirus 5 (CMV).nasal"
"474","ever_monoclonal","0.5% (5/1008)","0% (0/22)",-0.5,"Human betaherpesvirus 5 (CMV).nasal"
"475","ever_immsupp","6.7% (68/1008)","9.1% (2/22)",2.3,"Human betaherpesvirus 5 (CMV).nasal"
"476","anycomp","85.2% (859/1008)","100% (22/22)",14.8,"Human betaherpesvirus 5 (CMV).nasal"
"477","ncomp","18.6% (187/1008)","4.5% (1/22)",-14,"Human betaherpesvirus 5 (CMV).nasal"
"478","comp_seizure","0.5% (5/1008)","0% (0/22)",-0.5,"Human betaherpesvirus 5 (CMV).nasal"
"479","comp_meningitis","1.2% (12/1008)","4.5% (1/22)",3.4,"Human betaherpesvirus 5 (CMV).nasal"
"480","comp_stroke","1.7% (17/1008)","9.1% (2/22)",7.4,"Human betaherpesvirus 5 (CMV).nasal"
"481","comp_afib","7.6% (77/1008)","13.6% (3/22)",6,"Human betaherpesvirus 5 (CMV).nasal"
"482","comp_ventricular_arr","3.1% (31/1008)","13.6% (3/22)",10.6,"Human betaherpesvirus 5 (CMV).nasal"
"483","comp_endo","0.1% (1/1008)","0% (0/22)",-0.1,"Human betaherpesvirus 5 (CMV).nasal"
"484","comp_myocard","0.4% (4/1008)","0% (0/22)",-0.4,"Human betaherpesvirus 5 (CMV).nasal"
"485","comp_cardarrest","3.1% (31/1008)","18.2% (4/22)",15.1,"Human betaherpesvirus 5 (CMV).nasal"
"486","comp_stemi","1% (10/1008)","9.1% (2/22)",8.1,"Human betaherpesvirus 5 (CMV).nasal"
"487","comp_nstemi","2.7% (27/1008)","0% (0/22)",-2.7,"Human betaherpesvirus 5 (CMV).nasal"
"488","comp_chf","6.7% (68/1008)","4.5% (1/22)",-2.2,"Human betaherpesvirus 5 (CMV).nasal"
"489","comp_pneumonia","68.1% (686/1008)","68.2% (15/22)",0.1,"Human betaherpesvirus 5 (CMV).nasal"
"490","comp_bronch","0.5% (5/1008)","0% (0/22)",-0.5,"Human betaherpesvirus 5 (CMV).nasal"
"491","comp_pneumo","2.4% (24/1008)","22.7% (5/22)",20.3,"Human betaherpesvirus 5 (CMV).nasal"
"492","comp_pneumomed","1.2% (12/1008)","0% (0/22)",-1.2,"Human betaherpesvirus 5 (CMV).nasal"
"493","comp_aat","0.7% (7/1008)","0% (0/22)",-0.7,"Human betaherpesvirus 5 (CMV).nasal"
"494","comp_avthromb","6.2% (63/1008)","27.3% (6/22)",21,"Human betaherpesvirus 5 (CMV).nasal"
"495","comp_shock","14.8% (149/1008)","59.1% (13/22)",44.3,"Human betaherpesvirus 5 (CMV).nasal"
"496","comp_bac","11.2% (113/1008)","36.4% (8/22)",25.2,"Human betaherpesvirus 5 (CMV).nasal"
"497","comp_coag","3.7% (37/1008)","0% (0/22)",-3.7,"Human betaherpesvirus 5 (CMV).nasal"
"498","comp_hypogly","1.5% (15/1008)","0% (0/22)",-1.5,"Human betaherpesvirus 5 (CMV).nasal"
"499","comp_bleed","5.7% (57/1008)","9.1% (2/22)",3.4,"Human betaherpesvirus 5 (CMV).nasal"
"500","comp_anemia","14.2% (143/1008)","22.7% (5/22)",8.5,"Human betaherpesvirus 5 (CMV).nasal"
"501","comp_pancreas","0.6% (6/1008)","0% (0/22)",-0.6,"Human betaherpesvirus 5 (CMV).nasal"
"502","comp_renal","21% (212/1008)","45.5% (10/22)",24.4,"Human betaherpesvirus 5 (CMV).nasal"
