"","term","npar","AIC","LRT","Pr(Chi)","virus","feature","coef_virus"
"155","trajectory_group",4,1228.68388753808,11.7888331330396,0.0189926222900382,"Anelloviridae.pbmc","symptom_chills",0.0929488919100271
"156","<none>",NA,155.373486679573,NA,NA,"Anelloviridae.pbmc","symptom_shaking",-0.365795650979974
"157","binary",1,153.605034299817,0.231547620244072,0.63037865832114,"Anelloviridae.pbmc","symptom_shaking",-0.365795650979974
"158","sex",1,153.713180850406,0.339694170833212,0.560005805510141,"Anelloviridae.pbmc","symptom_shaking",-0.365795650979974
"159","discretized_admit_age_quantile",4,151.691337681372,4.31785100179943,0.364695119865973,"Anelloviridae.pbmc","symptom_shaking",-0.365795650979974
"160","trajectory_group",4,150.007188680748,2.63370200117566,0.620864719207864,"Anelloviridae.pbmc","symptom_shaking",-0.365795650979974
"161","<none>",NA,1519.30426506718,NA,NA,"Anelloviridae.pbmc","symptom_fatigue",0.0685764137633637
"162","binary",1,1517.50862106713,0.204355999951304,0.651227546496346,"Anelloviridae.pbmc","symptom_fatigue",0.0685764137633637
"163","sex",1,1517.98665466837,0.682389601191744,0.408765086101417,"Anelloviridae.pbmc","symptom_fatigue",0.0685764137633637
"164","discretized_admit_age_quantile",4,1517.42305621521,6.11879114802491,0.190450781071336,"Anelloviridae.pbmc","symptom_fatigue",0.0685764137633637
"165","trajectory_group",4,1519.43583125668,8.13156618949483,0.0868759221944639,"Anelloviridae.pbmc","symptom_fatigue",0.0685764137633637
"166","<none>",NA,1201.46221896647,NA,NA,"Anelloviridae.pbmc","symptom_myalgia",-0.0970137345803775
"167","binary",1,1199.74637145771,0.284152491242821,0.59399235381459,"Anelloviridae.pbmc","symptom_myalgia",-0.0970137345803775
"168","sex",1,1200.59815385175,1.13593488528022,0.286512948326049,"Anelloviridae.pbmc","symptom_myalgia",-0.0970137345803775
"169","discretized_admit_age_quantile",4,1203.19160911927,9.72939015280485,0.0452413138656979,"Anelloviridae.pbmc","symptom_myalgia",-0.0970137345803775
"170","trajectory_group",4,1210.46077848416,16.9985595176877,0.00193419554498438,"Anelloviridae.pbmc","symptom_myalgia",-0.0970137345803775
"171","<none>",NA,71.4300653879723,NA,NA,"Anelloviridae.pbmc","symptom_lymphadenopathy",2.065376135108
"172","binary",1,73.437804656999,4.00773926902671,0.045291843000695,"Anelloviridae.pbmc","symptom_lymphadenopathy",2.065376135108
"173","sex",1,70.1398357666263,0.709770378653985,0.399520051152837,"Anelloviridae.pbmc","symptom_lymphadenopathy",2.065376135108
"174","discretized_admit_age_quantile",4,69.2080199793852,5.77795459141291,0.21635578390925,"Anelloviridae.pbmc","symptom_lymphadenopathy",2.065376135108
"175","trajectory_group",4,66.3117062675802,2.88164087960793,0.577823851934441,"Anelloviridae.pbmc","symptom_lymphadenopathy",2.065376135108
"176","<none>",NA,1395.6536128917,NA,NA,"Anelloviridae.pbmc","symptom_allneuro",-0.169306203502958
"177","binary",1,1394.73930652107,1.08569362937146,0.297427334838671,"Anelloviridae.pbmc","symptom_allneuro",-0.169306203502958
"178","sex",1,1393.66516229248,0.0115494007791312,0.914417600748704,"Anelloviridae.pbmc","symptom_allneuro",-0.169306203502958
"179","discretized_admit_age_quantile",4,1390.42273195826,2.76911906655755,0.597174980984995,"Anelloviridae.pbmc","symptom_allneuro",-0.169306203502958
"180","trajectory_group",4,1390.3413925066,2.6877796149015,0.611354710517398,"Anelloviridae.pbmc","symptom_allneuro",-0.169306203502958
"181","<none>",NA,1020.84470822015,NA,NA,"Anelloviridae.pbmc","symptom_headache",-0.149397236440552
"182","binary",1,1019.3828373704,0.53812915024173,0.46320910304532,"Anelloviridae.pbmc","symptom_headache",-0.149397236440552
"183","sex",1,1018.85784696334,0.0131387431849816,0.908742872973047,"Anelloviridae.pbmc","symptom_headache",-0.149397236440552
"184","discretized_admit_age_quantile",4,1030.28433332685,17.4396251066994,0.00158741841650158,"Anelloviridae.pbmc","symptom_headache",-0.149397236440552
"185","trajectory_group",4,1026.47743841995,13.6327301997978,0.00856436341133412,"Anelloviridae.pbmc","symptom_headache",-0.149397236440552
"186","<none>",NA,454.054315298445,NA,NA,"Anelloviridae.pbmc","symptom_confusion",-0.0744158956668811
"187","binary",1,452.109113915552,0.0547986171072807,0.81491429827012,"Anelloviridae.pbmc","symptom_confusion",-0.0744158956668811
"188","sex",1,452.216397515931,0.162082217485931,0.687246660535748,"Anelloviridae.pbmc","symptom_confusion",-0.0744158956668811
"189","discretized_admit_age_quantile",4,467.666929920386,21.6126146219412,0.000239328516358156,"Anelloviridae.pbmc","symptom_confusion",-0.0744158956668811
"190","trajectory_group",4,455.342476648086,9.28816134964069,0.0542868449762915,"Anelloviridae.pbmc","symptom_confusion",-0.0744158956668811
"191","<none>",NA,54.9213453340909,NA,NA,"Anelloviridae.pbmc","symptom_seizure",-20.4568718796833
"192","binary",1,54.4056506537442,1.48430531965329,0.22310212811661,"Anelloviridae.pbmc","symptom_seizure",-20.4568718796833
"193","sex",1,56.1408543836329,3.21950904954207,0.0727654510544671,"Anelloviridae.pbmc","symptom_seizure",-20.4568718796833
"194","discretized_admit_age_quantile",4,50.7468654844328,3.82552015034189,0.430133796488031,"Anelloviridae.pbmc","symptom_seizure",-20.4568718796833
"195","trajectory_group",4,48.9322264179841,2.01088108389327,0.733757428658791,"Anelloviridae.pbmc","symptom_seizure",-20.4568718796833
"196","<none>",NA,202.40681279068,NA,NA,"Anelloviridae.pbmc","symptom_syncope",-0.0832548631915496
"197","binary",1,200.427551443439,0.0207386527586095,0.885493196388998,"Anelloviridae.pbmc","symptom_syncope",-0.0832548631915496
