term,npar,AIC,LRT,Pr(Chi),virus,feature,coef_virus,OR_values,2.5 %,97.5 %,direction,log10p,signedlog10p,Label,panel
binary,1,145.095181223736,7.68525946574385,0.02326575959646728,Anelloviridae.pbmc,comp_stemi,1.67820796070588,5.35594929432896,1.67870583272323,17.0882785323308,1,1.6332827637553027,1.6332827637553027,STEMI,Complications & Comorbidities
binary,1,537.315403994368,0.0569696743950772,0.8311402921242109,Anelloviridae.pbmc,comp_chf,0.0734166299239621,1.07617881182239,0.590773900887986,1.9604129994142,1,0.08032566339646856,0.08032566339646856,CHF,Complications & Comorbidities
binary,1,256.811395462496,0.065653771548341,0.8273204668430572,Anelloviridae.pbmc,comp_pneumo,0.118391179413668,1.12568436980346,0.458595201676996,2.76314557105272,1,0.08232623165346141,0.08232623165346141,Pneumothorax,Complications & Comorbidities
binary,1,513.027539666613,1.36454461150993,0.37990696857021033,Anelloviridae.pbmc,comp_avthromb,-0.373233669707703,0.688504331439916,0.361890728080323,1.30989322916919,-1,0.42032274018091415,-0.42032274018091415,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,605.466634341998,8.39481551903464,0.017560325978789815,Anelloviridae.pbmc,comp_shock,0.742316144265049,2.10079562970748,1.2747048423805,3.46224642055658,1,1.7554674263868861,1.7554674263868861,Shock,Complications & Comorbidities
binary,1,717.277359278143,1.06742111326878,0.44435805853653493,Anelloviridae.pbmc,comp_bac,0.255888692377424,1.29160895401632,0.799114375117939,2.08762818194693,1,0.3522669393930569,0.3522669393930569,Bacteremia,Complications & Comorbidities
binary,1,1047.40798118325,2.92723848785045,0.1744284806405884,Anelloviridae.pbmc,comp_renal,0.340813951065826,1.40609161467903,0.955416002848341,2.06935368779301,1,0.7583826021145113,0.7583826021145113,Renal,Complications & Comorbidities
binary,1,805.466598728944,0.790373741659437,0.49864951754728937,Anelloviridae.pbmc,comp_liver,-0.238416024787249,0.787874847437171,0.461271837178376,1.34572875513339,-1,0.30220459681150497,-0.30220459681150497,Liver Dysfunction/Failure,Complications & Comorbidities
binary,1,318.327969537725,5.549556554395,0.0554561088934071,Anelloviridae.pbmc,comp_othinf,0.958401453589009,2.60752489052169,1.21491253356219,5.59644078636224,1,1.2560506061863266,1.2560506061863266,Other Infection,Complications & Comorbidities
binary,1,38.9030110185261,1.33031824046713,0.37990696857021033,Anelloviridae.pbmc,comp_pulmvas,1.79382868506967,6.01242814887656,0.326863747557747,110.594376144503,1,0.42032274018091415,0.42032274018091415,Pulm Vascular Disease,Complications & Comorbidities
binary,1,413.335009463294,0.860031886633863,0.530594652729984,Enterovirus.nasal,comorb_isaric_liver,-0.849734169943964,0.427528566787146,0.0559522392720243,3.26672672617162,-1,0.2752371310999449,-0.2752371310999449,Liver Disease,Complications & Comorbidities
binary,1,359.834383031551,0.570300822869001,0.60018586953862,Enterovirus.nasal,comorb_hxtrans,-0.724194343483594,0.4847149254259,0.0588227977387628,3.99417518313329,-1,0.221714233592346,-0.221714233592346,Organ/BM Transplant,Complications & Comorbidities
binary,1,527.357319515029,0.324751262702193,0.6773118154329086,Enterovirus.nasal,comorb_anysubstance,-0.342713511629925,0.709841543779549,0.207846649517659,2.42426336168832,-1,0.16921134823454256,-0.16921134823454256,Substance Use,Complications & Comorbidities
binary,1,788.521573698727,0.109781227996109,0.798265337708212,Enterovirus.nasal,ever_icu,-0.148469597607695,0.862026214431264,0.356661996322456,2.08345492939728,-1,0.09785272826230548,-0.09785272826230548,ICU,Clinical Event
binary,1,1286.46663864893,1.71130669990066,0.3642849393487424,Enterovirus.nasal,ever_remdes,0.447935990703059,1.56507851287198,0.788244504086341,3.10750121155967,1,0.43855878344636473,0.43855878344636473,Remdesivir,Medication
binary,1,1041.38081605797,2.28632101860944,0.2885156216155677,Enterovirus.nasal,ever_steroids,0.581053150879356,1.7879203895133,0.824804306357573,3.87565789193584,1,0.5398306670913807,0.5398306670913807,Steroids,Medication
binary,1,1206.40351232245,0.0920903636911135,0.7996131394204768,Enterovirus.nasal,ever_azithro,-0.103388004777827,0.901777011803391,0.461150434119375,1.76341974082701,-1,0.0971200780720247,-0.0971200780720247,Azithromycin,Medication
binary,1,452.604645350268,1.26007224789396,0.45468467376006877,Enterovirus.nasal,ever_conplas,-0.795979923027708,0.451138936816054,0.0986509483930856,2.06309562783468,-1,0.3422896844876764,-0.3422896844876764,Conv Plasma,Medication
binary,1,445.223759409299,0.0314275546500085,0.8802481756373433,Enterovirus.nasal,ever_immsupp,0.118314679563313,1.12559825841142,0.308930707752982,4.10115086504087,1,0.05539486635599557,0.05539486635599557,Immunosupressed,Medication
binary,1,737.139366932239,1.02333697760366,0.49406069894359705,Enterovirus.nasal,ncomp,-0.458996059646724,0.631917734873707,0.266858022084819,1.49637631474686,-1,0.30621969156853557,-0.30621969156853557,Number of Complications,Clinical Event
binary,1,182.767271868763,1.8000625878999,0.35105148821564286,Enterovirus.nasal,comp_stroke,-18.2686064589341,1.164246719e-8,0,9788173817404192e268,-1,0.45462918151701004,-0.45462918151701004,Stroke,Complications & Comorbidities
binary,1,133.68273685424,1.15997143466967,0.45468467376006877,Enterovirus.nasal,comp_stemi,-18.861027305291,6.43813261e-9,0,Inf,-1,0.3422896844876764,-0.3422896844876764,STEMI,Complications & Comorbidities
binary,1,475.332773197886,0.455892755741502,0.6377118035703608,Enterovirus.nasal,comp_chf,0.389099875329397,1.47565192519553,0.500387737754286,4.35172255440551,1,0.19537554447105937,0.19537554447105937,CHF,Complications & Comorbidities
binary,1,248.045166319906,1.19682603996571,0.45468467376006877,Enterovirus.nasal,comp_pneumo,0.781986012173854,2.18580900095368,0.597033205490599,8.00250462572532,1,0.3422896844876764,0.3422896844876764,Pneumothorax,Complications & Comorbidities
binary,1,460.271630454178,0.0338200824738237,0.8802481756373433,Enterovirus.nasal,comp_avthromb,-0.108064198211214,0.897569972194114,0.280587574122588,2.8712314061084,-1,0.05539486635599557,-0.05539486635599557,Acute Venous Thromboembolism,Complications & Comorbidities
binary,1,565.198326390771,0.283961603710054,0.6931357064708196,Enterovirus.nasal,comp_shock,-0.291190487889762,0.747373298895201,0.252923169479529,2.20844475834669,-1,0.1591817281564869,-0.1591817281564869,Shock,Complications & Comorbidities
binary,1,664.823973886529,0.968712676699965,0.5011845825255573,Enterovirus.nasal,comp_bac,0.445059738482528,1.56058341993347,0.659094372021152,3.6951015119472,1,0.30000229726899186,0.30000229726899186,Bacteremia,Complications & Comorbidities
binary,1,940.056213139089,0.10090227500018,0.798265337708212,Enterovirus.nasal,comp_renal,0.121343739287236,1.12901293177522,0.536742315879909,2.37482710493216,1,0.09785272826230548,0.09785272826230548,Renal,Complications & Comorbidities
binary,1,769.299218254011,0.106401574592951,0.798265337708212,Enterovirus.nasal,comp_liver,-0.148572670805886,0.86193736721138,0.348338486631067,2.13279914080279,-1,0.09785272826230548,-0.09785272826230548,Liver Dysfunction/Failure,Complications & Comorbidities
binary,1,297.657514828071,0.752637146191489,0.553043297532627,Enterovirus.nasal,comp_othinf,0.605759995421069,1.83264448117262,0.506570593645309,6.63004492661899,1,0.25724086662765844,0.25724086662765844,Other Infection,Complications & Comorbidities
binary,1,29.606414594574,3.5527e-13,0.999999524423742,Enterovirus.nasal,comp_pulmvas,-1.1235081547391499,0.325137160056561,0,Inf,-1,2.065401937042421e-7,-2.065401937042421e-7,Pulm Vascular Disease,Complications & Comorbidities
binary,1,412.405516234236,6.18672322807714,0.04914469618825009,HSV1.nasal,comorb_isaric_liver,-1.87947743240029,0.152669865240235,0.0205236614071928,1.13566908408959,-1,1.308523345389661,-1.308523345389661,Liver Disease,Complications & Comorbidities
binary,1,359.26108200704,0.117763183359159,0.788356401486626,HSV1.nasal,comorb_hxtrans,-0.202009678988308,0.817087019328256,0.2528105417789,2.64083606821516,-1,0.10327740153787376,-0.10327740153787376,Organ/BM Transplant,Complications & Comorbidities
binary,1,525.524681089137,0.154468016170654,0.7717685223428152,HSV1.nasal,comorb_anysubstance,-0.167117676035463,0.846100039780424,0.362692907787717,1.97380555821467,-1,0.11251293871046499,-0.11251293871046499,Substance Use,Complications & Comorbidities
binary,1,777.23306908339,2.53180497832091,0.213002090585088,HSV1.nasal,ever_icu,0.533033385677094,1.70409364976137,0.883486131686129,3.28690520768548,1,0.6716161340020508,0.6716161340020508,ICU,Clinical Event
binary,1,1270.34723935567,0.689684728766451,0.5494338095824975,HSV1.nasal,ever_remdes,-0.196492522707256,0.821607474671894,0.517714340288029,1.30388283635561,-1,0.26008461964546475,-0.26008461964546475,Remdesivir,Medication
binary,1,1032.18080257358,0.0543550250622502,0.856433991368989,HSV1.nasal,ever_steroids,0.0688777703061745,1.0713052558319,0.59948137328996,1.91447975251424,1,0.06730610413912715,0.06730610413912715,Steroids,Medication
