""," Clinical Variable","TG1 Percent Difference","TG1 Rate of Clinical Event in Virus Negative Participants","TG1 Rate of Clinical Event in Virus Positive Participants","TG2 Percent Difference","TG2 Rate of Clinical Event in Virus Negative Participants","TG2 Rate of Clinical Event in Virus Positive Participants","TG3 Percent Difference","TG3 Rate of Clinical Event in Virus Negative Participants","TG3 Rate of Clinical Event in Virus Positive Participants","TG4 Percent Difference","TG4 Rate of Clinical Event in Virus Negative Participants","TG4 Rate of Clinical Event in Virus Positive Participants","TG5 Percent Difference","TG5 Rate of Clinical Event in Virus Negative Participants","TG5 Rate of Clinical Event in Virus Positive Participants","virus"
"94","comp_othinf",6.8,"3.2% (6/188)","10% (2/20)",3.3,"1.4% (3/209)","4.8% (2/42)",4.6,"2.2% (6/275)","6.8% (3/44)",2.7,"3.8% (6/159)","6.5% (4/62)",3.3,"1.2% (1/81)","4.5% (1/22)","Anelloviridae.pbmc"
"95","comp_othpulm",0,"0% (0/188)","0% (0/20)",0,"0% (0/209)","0% (0/42)",-0.4,"0.4% (1/275)","0% (0/44)",0,"0% (0/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"96","comp_unddisease",3.4,"1.6% (3/188)","5% (1/20)",-1,"1% (2/209)","0% (0/42)",3.1,"1.5% (4/275)","4.5% (2/44)",1,"0.6% (1/159)","1.6% (1/62)",-1.2,"1.2% (1/81)","0% (0/22)","Anelloviridae.pbmc"
"97","comp_enceph",-0.5,"0.5% (1/188)","0% (0/20)",-1.4,"1.4% (3/209)","0% (0/42)",3.1,"1.5% (4/275)","4.5% (2/44)",6.5,"3.1% (5/159)","9.7% (6/62)",-6.2,"6.2% (5/81)","0% (0/22)","Anelloviridae.pbmc"
"98","comp_othneuro",-1.1,"1.1% (2/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",1.5,"0.7% (2/275)","2.3% (1/44)",1.6,"0% (0/159)","1.6% (1/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"99","comp_hypergly",-2.1,"2.1% (4/188)","0% (0/20)",-0.5,"5.3% (11/209)","4.8% (2/42)",4,"5.1% (14/275)","9.1% (4/44)",0.1,"3.1% (5/159)","3.2% (2/62)",-1.6,"6.2% (5/81)","4.5% (1/22)","Anelloviridae.pbmc"
"100","comp_psych",-0.5,"0.5% (1/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",-0.4,"0.4% (1/275)","0% (0/44)",0,"0% (0/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"101","comp_gastroent",-1.1,"1.1% (2/188)","0% (0/20)",-2.4,"2.4% (5/209)","0% (0/42)",-1.5,"1.5% (4/275)","0% (0/44)",-0.6,"0.6% (1/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"102","comp_pulmvas",0,"0% (0/188)","0% (0/20)",-0.5,"0.5% (1/209)","0% (0/42)",2.3,"0% (0/275)","2.3% (1/44)",0,"0% (0/159)","0% (0/62)",0,"0% (0/81)","0% (0/22)","Anelloviridae.pbmc"
"103","comp_other2",-1.1,"1.1% (2/188)","0% (0/20)",-0.5,"2.9% (6/209)","2.4% (1/42)",0.5,"1.8% (5/275)","2.3% (1/44)",1.3,"1.9% (3/159)","3.2% (2/62)",-2.5,"2.5% (2/81)","0% (0/22)","Anelloviridae.pbmc"
"104","comorb_htn",-6.1,"56.1% (105/187)","50% (3/6)",14.3,"55.7% (122/219)","70% (7/10)",-23.5,"55.1% (157/285)","31.6% (6/19)",-1.1,"59.5% (113/190)","58.3% (7/12)",-5.1,"71.7% (71/99)","66.7% (2/3)","Enterovirus.nasal"
"105","comorb_isaric_dm",26.6,"40.1% (75/187)","66.7% (4/6)",-10.1,"30.1% (66/219)","20% (2/10)",4.2,"32.6% (93/285)","36.8% (7/19)",7.4,"42.6% (81/190)","50% (6/12)",18.2,"48.5% (48/99)","66.7% (2/3)","Enterovirus.nasal"
"106","comorb_anyresp_noasthma",6,"10.7% (20/187)","16.7% (1/6)",2.6,"17.4% (38/219)","20% (2/10)",-2.5,"23.5% (67/285)","21.1% (4/19)",7.1,"17.9% (34/190)","25% (3/12)",30.3,"36.4% (36/99)","66.7% (2/3)","Enterovirus.nasal"
"107","comorb_isaric_asthma",0.1,"16.6% (31/187)","16.7% (1/6)",-18.3,"18.3% (40/219)","0% (0/10)",-8.4,"13.7% (39/285)","5.3% (1/19)",11.8,"13.2% (25/190)","25% (3/12)",24.2,"9.1% (9/99)","33.3% (1/3)","Enterovirus.nasal"
"108","comorb_isaric_cardiac",9.3,"24.1% (45/187)","33.3% (2/6)",16.3,"23.7% (52/219)","40% (4/10)",-14,"29.8% (85/285)","15.8% (3/19)",-6.5,"23.2% (44/190)","16.7% (2/12)",-11.1,"44.4% (44/99)","33.3% (1/3)","Enterovirus.nasal"
"109","comorb_isaric_ckd",-12.3,"12.3% (23/187)","0% (0/6)",-2.3,"12.3% (27/219)","10% (1/10)",-17.5,"17.5% (50/285)","0% (0/19)",-4.8,"13.2% (25/190)","8.3% (1/12)",-29.3,"29.3% (29/99)","0% (0/3)","Enterovirus.nasal"
"110","comorb_isaric_neoplasm",-8,"8% (15/187)","0% (0/6)",0.4,"9.6% (21/219)","10% (1/10)",0.7,"9.8% (28/285)","10.5% (2/19)",-9.5,"9.5% (18/190)","0% (0/12)",17.2,"16.2% (16/99)","33.3% (1/3)","Enterovirus.nasal"
"111","comorb_neuro",-10.7,"10.7% (20/187)","0% (0/6)",0,"10% (22/219)","10% (1/10)",1.4,"14.4% (41/285)","15.8% (3/19)",-11.1,"11.1% (21/190)","0% (0/12)",19.2,"14.1% (14/99)","33.3% (1/3)","Enterovirus.nasal"
"112","comorb_isaric_liver",-4.8,"4.8% (9/187)","0% (0/6)",-5.9,"5.9% (13/219)","0% (0/10)",-4.2,"4.2% (12/285)","0% (0/19)",2,"6.3% (12/190)","8.3% (1/12)",-4,"4% (4/99)","0% (0/3)","Enterovirus.nasal"
"113","comorb_hxtrans",-3.7,"3.7% (7/187)","0% (0/6)",-6.4,"6.4% (14/219)","0% (0/10)",-1.4,"6.7% (19/285)","5.3% (1/19)",-6.8,"6.8% (13/190)","0% (0/12)",-4,"4% (4/99)","0% (0/3)","Enterovirus.nasal"
"114","comorb_hiv2",14,"2.7% (5/187)","16.7% (1/6)",0,"0% (0/219)","0% (0/10)",-1.4,"1.4% (4/285)","0% (0/19)",-1.1,"1.1% (2/190)","0% (0/12)",-1,"1% (1/99)","0% (0/3)","Enterovirus.nasal"
"115","comorb_eversmkvape",2.3,"31% (58/187)","33.3% (2/6)",-10.6,"30.6% (67/219)","20% (2/10)",6.3,"30.5% (87/285)","36.8% (7/19)",11.1,"30.5% (58/190)","41.7% (5/12)",-13.1,"46.5% (46/99)","33.3% (1/3)","Enterovirus.nasal"
"116","comorb_anysubstance",-9.6,"9.6% (18/187)","0% (0/6)",-5.9,"5.9% (13/219)","0% (0/10)",3.5,"7% (20/285)","10.5% (2/19)",2,"6.3% (12/190)","8.3% (1/12)",-8.1,"8.1% (8/99)","0% (0/3)","Enterovirus.nasal"
"117","comorb_count",-17.1,"17.1% (32/187)","0% (0/6)",-6,"16% (35/219)","10% (1/10)",9.8,"16.5% (47/285)","26.3% (5/19)",6.1,"10.5% (20/190)","16.7% (2/12)",-6.1,"6.1% (6/99)","0% (0/3)","Enterovirus.nasal"
"118","comorb_countcat",-17.1,"17.1% (32/187)","0% (0/6)",-6,"16% (35/219)","10% (1/10)",9.8,"16.5% (47/285)","26.3% (5/19)",6.1,"10.5% (20/190)","16.7% (2/12)",-6.1,"6.1% (6/99)","0% (0/3)","Enterovirus.nasal"
"119","timesymptomcat",-6.9,"23.5% (44/187)","16.7% (1/6)",10.8,"19.2% (42/219)","30% (3/10)",-10.2,"20.7% (59/285)","10.5% (2/19)",-0.2,"16.8% (32/190)","16.7% (2/12)",41.4,"25.3% (25/99)","66.7% (2/3)","Enterovirus.nasal"
"120","symptom_allresp",19.3,"80.7% (151/187)","100% (6/6)",9.6,"90.4% (198/219)","100% (10/10)",-1.4,"85.6% (244/285)","84.2% (16/19)",0.1,"91.6% (174/190)","91.7% (11/12)",17.2,"82.8% (82/99)","100% (3/3)","Enterovirus.nasal"
"121","symptom_cough",41.2,"58.8% (110/187)","100% (6/6)",13.3,"66.7% (146/219)","80% (8/10)",-13.3,"60.7% (173/285)","47.4% (9/19)",8.2,"58.4% (111/190)","66.7% (8/12)",15.2,"51.5% (51/99)","66.7% (2/3)","Enterovirus.nasal"
"122","symptom_cough_prod",1.7,"15% (28/187)","16.7% (1/6)",5.4,"14.6% (32/219)","20% (2/10)",-7,"17.5% (50/285)","10.5% (2/19)",7.7,"8.9% (17/190)","16.7% (2/12)",-15.2,"15.2% (15/99)","0% (0/3)","Enterovirus.nasal"
"123","symptom_haemoptysis",-3.7,"3.7% (7/187)","0% (0/6)",-1.8,"1.8% (4/219)","0% (0/10)",-2.1,"2.1% (6/285)","0% (0/19)",-1.6,"1.6% (3/190)","0% (0/12)",-1,"1% (1/99)","0% (0/3)","Enterovirus.nasal"
"124","symptom_sorethroat",6.5,"10.2% (19/187)","16.7% (1/6)",-8.7,"8.7% (19/219)","0% (0/10)",-2.5,"7.7% (22/285)","5.3% (1/19)",-8.9,"8.9% (17/190)","0% (0/12)",-5.1,"5.1% (5/99)","0% (0/3)","Enterovirus.nasal"
"125","symptom_rhinorrhea",43,"7% (13/187)","50% (3/6)",-2.3,"2.3% (5/219)","0% (0/10)",-1.1,"6.3% (18/285)","5.3% (1/19)",-4.7,"4.7% (9/190)","0% (0/12)",-4,"4% (4/99)","0% (0/3)","Enterovirus.nasal"
"126","symptom_wheeze",12.9,"3.7% (7/187)","16.7% (1/6)",-4.1,"4.1% (9/219)","0% (0/10)",0.7,"4.6% (13/285)","5.3% (1/19)",19.2,"5.8% (11/190)","25% (3/12)",-7.1,"7.1% (7/99)","0% (0/3)","Enterovirus.nasal"
"127","symptom_chestpain",8.7,"24.6% (46/187)","33.3% (2/6)",-1.9,"21.9% (48/219)","20% (2/10)",20,"16.8% (48/285)","36.8% (7/19)",-0.2,"16.8% (32/190)","16.7% (2/12)",21.2,"12.1% (12/99)","33.3% (1/3)","Enterovirus.nasal"
"128","symptom_dyspnea",39.6,"60.4% (113/187)","100% (6/6)",6.5,"73.5% (161/219)","80% (8/10)",-0.4,"68.8% (196/285)","68.4% (13/19)",-14.9,"81.6% (155/190)","66.7% (8/12)",24.2,"75.8% (75/99)","100% (3/3)","Enterovirus.nasal"
"129","symptom_chestwall",0,"0% (0/187)","0% (0/6)",0,"0% (0/218)","0% (0/10)",0,"0% (0/284)","0% (0/19)",-0.5,"0.5% (1/190)","0% (0/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"130","symptom_earpain",0,"0% (0/187)","0% (0/6)",-0.5,"0.5% (1/219)","0% (0/10)",-0.4,"0.4% (1/285)","0% (0/19)",-0.5,"0.5% (1/190)","0% (0/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"131","symptom_conjunctivitis",0,"0% (0/187)","0% (0/6)",0,"0% (0/219)","0% (0/10)",-0.4,"0.4% (1/285)","0% (0/19)",0,"0% (0/190)","0% (0/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"132","symptom_allsyst",6.3,"77% (144/187)","83.3% (5/6)",0.1,"79.9% (175/219)","80% (8/10)",-19.6,"72.3% (206/285)","52.6% (10/19)",-15.8,"65.8% (125/190)","50% (6/12)",6.1,"60.6% (60/99)","66.7% (2/3)","Enterovirus.nasal"
"133","symptom_fever",-0.3,"50.3% (94/187)","50% (3/6)",13.8,"56.2% (123/219)","70% (7/10)",-12.6,"49.5% (141/285)","36.8% (7/19)",-12.5,"45.8% (87/190)","33.3% (4/12)",-10.1,"43.4% (43/99)","33.3% (1/3)","Enterovirus.nasal"
"134","symptom_chills",-7.9,"24.6% (46/187)","16.7% (1/6)",-9.2,"29.2% (64/219)","20% (2/10)",-1.4,"27.7% (79/285)","26.3% (5/19)",-18.9,"18.9% (36/190)","0% (0/12)",-13.1,"13.1% (13/99)","0% (0/3)","Enterovirus.nasal"
"135","symptom_shaking",-0.5,"0.5% (1/187)","0% (0/6)",-1.8,"1.8% (4/219)","0% (0/10)",-0.7,"0.7% (2/284)","0% (0/19)",-1.1,"1.1% (2/190)","0% (0/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"136","symptom_fatigue",3.5,"46.5% (87/187)","50% (3/6)",3.4,"46.6% (102/219)","50% (5/10)",-4.6,"41.4% (118/285)","36.8% (7/19)",5.4,"36.3% (69/190)","41.7% (5/12)",3,"30.3% (30/99)","33.3% (1/3)","Enterovirus.nasal"
"137","symptom_myalgia",3.9,"29.4% (55/187)","33.3% (2/6)",19.4,"30.6% (67/219)","50% (5/10)",0.4,"20.7% (59/285)","21.1% (4/19)",-11.7,"20% (38/190)","8.3% (1/12)",24.2,"9.1% (9/99)","33.3% (1/3)","Enterovirus.nasal"
"138","symptom_lymphadenopathy",0,"0% (0/187)","0% (0/6)",0,"0% (0/219)","0% (0/10)",0,"0% (0/285)","0% (0/19)",0,"0% (0/190)","0% (0/12)",-1,"1% (1/99)","0% (0/3)","Enterovirus.nasal"
"139","symptom_allneuro",15.8,"34.2% (64/187)","50% (3/6)",-11.1,"31.1% (68/219)","20% (2/10)",2.5,"29.1% (83/285)","31.6% (6/19)",-16,"32.6% (62/190)","16.7% (2/12)",-27.3,"27.3% (27/99)","0% (0/3)","Enterovirus.nasal"
"140","symptom_headache",28.6,"21.4% (40/187)","50% (3/6)",1.3,"18.7% (41/219)","20% (2/10)",11.2,"15.1% (43/285)","26.3% (5/19)",-1.2,"17.9% (34/190)","16.7% (2/12)",-4,"4% (4/99)","0% (0/3)","Enterovirus.nasal"
"141","symptom_confusion",-3.2,"3.2% (6/187)","0% (0/6)",-2.7,"2.7% (6/219)","0% (0/10)",-4.9,"4.9% (14/285)","0% (0/19)",-9.5,"9.5% (18/190)","0% (0/12)",-13.1,"13.1% (13/99)","0% (0/3)","Enterovirus.nasal"
"142","symptom_seizure",0,"0% (0/187)","0% (0/6)",0,"0% (0/219)","0% (0/10)",-0.4,"0.4% (1/285)","0% (0/19)",-0.5,"0.5% (1/190)","0% (0/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"143","symptom_syncope",-3.7,"3.7% (7/187)","0% (0/6)",-0.9,"0.9% (2/219)","0% (0/10)",-1.8,"1.8% (5/285)","0% (0/19)",-0.5,"0.5% (1/190)","0% (0/12)",-3,"3% (3/99)","0% (0/3)","Enterovirus.nasal"
"144","symptom_anosmia",19.4,"13.9% (26/187)","33.3% (2/6)",-11.9,"11.9% (26/219)","0% (0/10)",-6,"11.2% (32/285)","5.3% (1/19)",-7.9,"7.9% (15/190)","0% (0/12)",-9.1,"9.1% (9/99)","0% (0/3)","Enterovirus.nasal"
"145","symptom_allGI",20.7,"46% (86/187)","66.7% (4/6)",-18.4,"48.4% (106/219)","30% (3/10)",-10.2,"36.5% (104/285)","26.3% (5/19)",-5.5,"30.5% (58/190)","25% (3/12)",4,"29.3% (29/99)","33.3% (1/3)","Enterovirus.nasal"
"146","symptom_abdpain",4.9,"11.8% (22/187)","16.7% (1/6)",10.4,"9.6% (21/219)","20% (2/10)",2.1,"8.4% (24/285)","10.5% (2/19)",9.3,"7.4% (14/190)","16.7% (2/12)",-8.1,"8.1% (8/99)","0% (0/3)","Enterovirus.nasal"
"147","symptom_nausea",4.5,"28.9% (54/187)","33.3% (2/6)",-31.5,"31.5% (69/219)","0% (0/10)",-9.1,"19.6% (56/285)","10.5% (2/19)",-15.8,"15.8% (30/190)","0% (0/12)",21.2,"12.1% (12/99)","33.3% (1/3)","Enterovirus.nasal"
"148","symptom_diarrhea",26.5,"23.5% (44/187)","50% (3/6)",-16.5,"26.5% (58/219)","10% (1/10)",-1.4,"22.5% (64/285)","21.1% (4/19)",-0.7,"17.4% (33/190)","16.7% (2/12)",-15.2,"15.2% (15/99)","0% (0/3)","Enterovirus.nasal"
"149","symptom_allderm",-0.5,"0.5% (1/187)","0% (0/6)",-0.5,"0.5% (1/219)","0% (0/10)",4.9,"0.4% (1/285)","5.3% (1/19)",6.8,"1.6% (3/190)","8.3% (1/12)",-1,"1% (1/99)","0% (0/3)","Enterovirus.nasal"
"150","symptom_skinrash",-0.5,"0.5% (1/187)","0% (0/6)",-0.5,"0.5% (1/219)","0% (0/10)",4.9,"0.4% (1/285)","5.3% (1/19)",-1.1,"1.1% (2/190)","0% (0/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"151","symptom_skinulcer",0,"0% (0/187)","0% (0/6)",0,"0% (0/219)","0% (0/10)",0,"0% (0/285)","0% (0/19)",7.8,"0.5% (1/190)","8.3% (1/12)",-1,"1% (1/99)","0% (0/3)","Enterovirus.nasal"
"152","symptom_allother",-10.7,"10.7% (20/187)","0% (0/6)",10.4,"9.6% (21/219)","20% (2/10)",2.1,"3.2% (9/285)","5.3% (1/19)",7.7,"8.9% (17/190)","16.7% (2/12)",-11.1,"11.1% (11/99)","0% (0/3)","Enterovirus.nasal"
"153","symptom_arthralgia",-8.6,"8.6% (16/187)","0% (0/6)",-5,"5% (11/219)","0% (0/10)",-1.8,"1.8% (5/285)","0% (0/19)",-2.1,"2.1% (4/190)","0% (0/12)",-3,"3% (3/99)","0% (0/3)","Enterovirus.nasal"
"154","symptom_edema",-1.1,"1.1% (2/187)","0% (0/6)",7.3,"2.7% (6/219)","10% (1/10)",-0.4,"0.4% (1/285)","0% (0/19)",5.7,"2.6% (5/190)","8.3% (1/12)",-5.1,"5.1% (5/99)","0% (0/3)","Enterovirus.nasal"
"155","symptom_nonamb",-1.6,"1.6% (3/187)","0% (0/6)",8.6,"1.4% (3/219)","10% (1/10)",-1.8,"1.8% (5/285)","0% (0/19)",4.6,"3.7% (7/190)","8.3% (1/12)",-4,"4% (4/99)","0% (0/3)","Enterovirus.nasal"
"156","symptom_bleeding",0,"0% (0/187)","0% (0/6)",-0.5,"0.5% (1/219)","0% (0/10)",5.3,"0% (0/285)","5.3% (1/19)",-0.5,"0.5% (1/190)","0% (0/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"157","ever_ever_esc",14.5,"2.1% (4/187)","16.7% (1/6)",-10,"10% (22/219)","0% (0/10)",-8.8,"8.8% (25/285)","0% (0/19)",-9.7,"34.7% (66/190)","25% (3/12)",52.5,"47.5% (47/99)","100% (3/3)","Enterovirus.nasal"
"158","ever_icu",-3.7,"3.7% (7/187)","0% (0/6)",7.6,"22.4% (49/219)","30% (3/10)",-8.1,"18.6% (53/285)","10.5% (2/19)",-20.2,"86.8% (165/190)","66.7% (8/12)",13.1,"86.9% (86/99)","100% (3/3)","Enterovirus.nasal"
"159","diedever",-2.7,"2.7% (5/187)","0% (0/6)",-3.2,"3.2% (7/219)","0% (0/10)",2.5,"2.8% (8/285)","5.3% (1/19)",17.5,"15.8% (30/190)","33.3% (4/12)",0,"100% (99/99)","100% (3/3)","Enterovirus.nasal"
"160","ever_remdes",-10,"43.3% (81/187)","33.3% (2/6)",18.3,"71.7% (157/219)","90% (9/10)",8.4,"60% (171/285)","68.4% (13/19)",2.9,"72.1% (137/190)","75% (9/12)",40.4,"59.6% (59/99)","100% (3/3)","Enterovirus.nasal"
"161","ever_steroids",53.5,"46.5% (87/187)","100% (6/6)",-15.3,"65.3% (143/219)","50% (5/10)",-5.3,"68.4% (195/285)","63.2% (12/19)",11.1,"88.9% (169/190)","100% (12/12)",18.2,"81.8% (81/99)","100% (3/3)","Enterovirus.nasal"
"162","ever_azithro",10.3,"23% (43/187)","33.3% (2/6)",17.6,"32.4% (71/219)","50% (5/10)",-3.9,"30.2% (86/285)","26.3% (5/19)",-10.9,"44.2% (84/190)","33.3% (4/12)",-36.4,"36.4% (36/99)","0% (0/3)","Enterovirus.nasal"
"163","ever_otherabx",-10.5,"43.9% (82/187)","33.3% (2/6)",-16.6,"46.6% (102/219)","30% (3/10)",5.6,"47% (134/285)","52.6% (10/19)",3.9,"79.5% (151/190)","83.3% (10/12)",-23.2,"89.9% (89/99)","66.7% (2/3)","Enterovirus.nasal"
"164","ever_conplas",-3.7,"3.7% (7/187)","0% (0/6)",2.2,"7.8% (17/219)","10% (1/10)",-0.7,"6% (17/285)","5.3% (1/19)",-11.6,"11.6% (22/190)","0% (0/12)",-14.1,"14.1% (14/99)","0% (0/3)","Enterovirus.nasal"
"165","ever_monoclonal",0,"0% (0/187)","0% (0/6)",9.5,"0.5% (1/219)","10% (1/10)",-0.4,"0.4% (1/285)","0% (0/19)",-1.1,"1.1% (2/190)","0% (0/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"166","ever_immsupp",10.8,"5.9% (11/187)","16.7% (1/6)",-6.8,"6.8% (15/219)","0% (0/10)",-1.8,"7% (20/285)","5.3% (1/19)",-0.1,"8.4% (16/190)","8.3% (1/12)",-5.1,"5.1% (5/99)","0% (0/3)","Enterovirus.nasal"
"167","anycomp",8.5,"74.9% (140/187)","83.3% (5/6)",-2.2,"82.2% (180/219)","80% (8/10)",-1.4,"85.6% (244/285)","84.2% (16/19)",-10.9,"94.2% (179/190)","83.3% (10/12)",3,"97% (96/99)","100% (3/3)","Enterovirus.nasal"
"168","ncomp",15.8,"34.2% (64/187)","50% (3/6)",1.7,"18.3% (40/219)","20% (2/10)",-16.5,"21.8% (62/285)","5.3% (1/19)",-7.4,"7.4% (14/190)","0% (0/12)",32.3,"1% (1/99)","33.3% (1/3)","Enterovirus.nasal"
"169","comp_seizure",0,"0% (0/187)","0% (0/6)",-0.5,"0.5% (1/219)","0% (0/10)",-0.4,"0.4% (1/285)","0% (0/19)",7.8,"0.5% (1/190)","8.3% (1/12)",-1,"1% (1/99)","0% (0/3)","Enterovirus.nasal"
"170","comp_meningitis",-0.5,"0.5% (1/187)","0% (0/6)",-0.5,"0.5% (1/219)","0% (0/10)",-0.7,"0.7% (2/285)","0% (0/19)",-2.1,"2.1% (4/190)","0% (0/12)",-5.1,"5.1% (5/99)","0% (0/3)","Enterovirus.nasal"
"171","comp_stroke",-0.5,"0.5% (1/187)","0% (0/6)",0,"0% (0/219)","0% (0/10)",-1.1,"1.1% (3/285)","0% (0/19)",-5.3,"5.3% (10/190)","0% (0/12)",-5.1,"5.1% (5/99)","0% (0/3)","Enterovirus.nasal"
"172","comp_afib",-1.6,"1.6% (3/187)","0% (0/6)",-5,"5% (11/219)","0% (0/10)",4.2,"6.3% (18/285)","10.5% (2/19)",5.6,"11.1% (21/190)","16.7% (2/12)",-23.2,"23.2% (23/99)","0% (0/3)","Enterovirus.nasal"
"173","comp_ventricular_arr",-0.5,"0.5% (1/187)","0% (0/6)",-1.8,"1.8% (4/219)","0% (0/10)",-2.1,"2.1% (6/285)","0% (0/19)",3.6,"4.7% (9/190)","8.3% (1/12)",-13.1,"13.1% (13/99)","0% (0/3)","Enterovirus.nasal"
"174","comp_endo",0,"0% (0/187)","0% (0/6)",0,"0% (0/219)","0% (0/10)",0,"0% (0/285)","0% (0/19)",-0.5,"0.5% (1/190)","0% (0/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"175","comp_myocard",0,"0% (0/187)","0% (0/6)",-0.5,"0.5% (1/219)","0% (0/10)",-0.7,"0.7% (2/285)","0% (0/19)",0,"0% (0/190)","0% (0/12)",-1,"1% (1/99)","0% (0/3)","Enterovirus.nasal"
"176","comp_cardarrest",0,"0% (0/187)","0% (0/6)",0,"0% (0/219)","0% (0/10)",-0.4,"0.4% (1/285)","0% (0/19)",-3.2,"3.2% (6/190)","0% (0/12)",-28.3,"28.3% (28/99)","0% (0/3)","Enterovirus.nasal"
"177","comp_stemi",-0.5,"0.5% (1/187)","0% (0/6)",0,"0% (0/219)","0% (0/10)",-0.7,"0.7% (2/285)","0% (0/19)",-2.1,"2.1% (4/190)","0% (0/12)",-5.1,"5.1% (5/99)","0% (0/3)","Enterovirus.nasal"
"178","comp_nstemi",-2.1,"2.1% (4/187)","0% (0/6)",-0.9,"0.9% (2/219)","0% (0/10)",-1.8,"1.8% (5/285)","0% (0/19)",6.2,"2.1% (4/190)","8.3% (1/12)",-11.1,"11.1% (11/99)","0% (0/3)","Enterovirus.nasal"
"179","comp_chf",-2.1,"2.1% (4/187)","0% (0/6)",-5,"5% (11/219)","0% (0/10)",-0.4,"5.6% (16/285)","5.3% (1/19)",10.9,"5.8% (11/190)","16.7% (2/12)",10.1,"23.2% (23/99)","33.3% (1/3)","Enterovirus.nasal"
"180","comp_pneumonia",13.7,"52.9% (99/187)","66.7% (4/6)",1.1,"68.9% (151/219)","70% (7/10)",-5.6,"63.5% (181/285)","57.9% (11/19)",-5.5,"80.5% (153/190)","75% (9/12)",16.2,"83.8% (83/99)","100% (3/3)","Enterovirus.nasal"
"181","comp_bronch",0,"0% (0/187)","0% (0/6)",-0.5,"0.5% (1/219)","0% (0/10)",-0.4,"0.4% (1/285)","0% (0/19)",7.3,"1.1% (2/190)","8.3% (1/12)",0,"0% (0/99)","0% (0/3)","Enterovirus.nasal"
"182","comp_pneumo",-0.5,"0.5% (1/187)","0% (0/6)",-0.9,"0.9% (2/219)","0% (0/10)",3.9,"1.4% (4/285)","5.3% (1/19)",9.8,"6.8% (13/190)","16.7% (2/12)",-6.1,"6.1% (6/99)","0% (0/3)","Enterovirus.nasal"
"183","comp_pneumomed",0,"0% (0/187)","0% (0/6)",0,"0% (0/219)","0% (0/10)",0,"0% (0/285)","0% (0/19)",5.2,"3.2% (6/190)","8.3% (1/12)",-5.1,"5.1% (5/99)","0% (0/3)","Enterovirus.nasal"
"184","comp_aat",-0.5,"0.5% (1/187)","0% (0/6)",-0.5,"0.5% (1/219)","0% (0/10)",0,"0% (0/285)","0% (0/19)",-1.6,"1.6% (3/190)","0% (0/12)",-2,"2% (2/99)","0% (0/3)","Enterovirus.nasal"
"185","comp_avthromb",-1.1,"1.1% (2/187)","0% (0/6)",5.9,"4.1% (9/219)","10% (1/10)",2.1,"3.2% (9/285)","5.3% (1/19)",1.4,"15.3% (29/190)","16.7% (2/12)",-16.2,"16.2% (16/99)","0% (0/3)","Enterovirus.nasal"
"186","comp_shock",-1.1,"1.1% (2/187)","0% (0/6)",-4.1,"4.1% (9/219)","0% (0/10)",-3.2,"3.2% (9/285)","0% (0/19)",23.1,"35.3% (67/190)","58.3% (7/12)",-68.7,"68.7% (68/99)","0% (0/3)","Enterovirus.nasal"
"187","comp_bac",13.5,"3.2% (6/187)","16.7% (1/6)",-5.5,"5.5% (12/219)","0% (0/10)",-2.8,"8.1% (23/285)","5.3% (1/19)",28.4,"21.6% (41/190)","50% (6/12)",3,"30.3% (30/99)","33.3% (1/3)","Enterovirus.nasal"
"188","comp_coag",-4.3,"4.3% (8/187)","0% (0/6)",6.8,"3.2% (7/219)","10% (1/10)",-1.8,"1.8% (5/285)","0% (0/19)",3.6,"4.7% (9/190)","8.3% (1/12)",-6.1,"6.1% (6/99)","0% (0/3)","Enterovirus.nasal"
"189","comp_hypogly",-0.5,"0.5% (1/187)","0% (0/6)",-1.4,"1.4% (3/219)","0% (0/10)",-1.1,"1.1% (3/285)","0% (0/19)",14.6,"2.1% (4/190)","16.7% (2/12)",-2,"2% (2/99)","0% (0/3)","Enterovirus.nasal"
"190","comp_bleed",-1.6,"1.6% (3/187)","0% (0/6)",-2.3,"2.3% (5/219)","0% (0/10)",7.7,"2.8% (8/285)","10.5% (2/19)",16.1,"8.9% (17/190)","25% (3/12)",-21.2,"21.2% (21/99)","0% (0/3)","Enterovirus.nasal"
