"","virus","OR_values","2.5 %","97.5 %","variable"
"110","Enterovirus.nasal",0.741684438579695,0.246207383055591,2.23427827226071,"comorb_isaric_neoplasm"
"111","Enterovirus.nasal",1.07611790321265,0.396899738895031,2.91768834325451,"comorb_neuro"
"112","Enterovirus.nasal",0.427528566787146,0.0559522392720243,3.26672672617162,"comorb_isaric_liver"
"113","Enterovirus.nasal",0.4847149254259,0.0588227977387628,3.99417518313329,"comorb_hxtrans"
"114","Enterovirus.nasal",1.98368158478759,0.236098865751889,16.6667155189157,"comorb_hiv2"
"115","Enterovirus.nasal",1.2782896817725,0.677353803169256,2.41236485700773,"comorb_eversmkvape"
"116","Enterovirus.nasal",0.709841543779549,0.207846649517659,2.42426336168832,"comorb_anysubstance"
"117","Enterovirus.nasal",3.55557186707326,0.471568770812222,26.8085846315655,"comorb_count"
"118","Enterovirus.nasal",3.55557186707326,0.471568770812222,26.8085846315655,"comorb_countcat"
"119","Enterovirus.nasal",1.00564195956847,0.485995090307789,2.08091762862094,"timesymptomcat"
"120","Enterovirus.nasal",1.46135455587272,0.502547433991203,4.24946381878719,"symptom_allresp"
"121","Enterovirus.nasal",1.11957847768918,0.602189769241238,2.08149661739384,"symptom_cough"
"122","Enterovirus.nasal",0.94600864395519,0.412662304689007,2.16867967892628,"symptom_cough_prod"
"123","Enterovirus.nasal",0.000000177409744766451,0,Inf,"symptom_haemoptysis"
"124","Enterovirus.nasal",0.377081003523016,0.087772879962384,1.61997741533446,"symptom_sorethroat"
"125","Enterovirus.nasal",1.54449565694614,0.505347488331433,4.7204485812364,"symptom_rhinorrhea"
"126","Enterovirus.nasal",2.2565445106068,0.83967642871029,6.06423254749544,"symptom_wheeze"
"127","Enterovirus.nasal",1.36317468169807,0.693170756903134,2.68078997031654,"symptom_chestpain"
"128","Enterovirus.nasal",1.06997113020687,0.535270199755307,2.13880432723422,"symptom_dyspnea"
"129","Enterovirus.nasal",0.000000000687521847869828,0,Inf,"symptom_chestwall"
"130","Enterovirus.nasal",0.00000000253363368184197,0,Inf,"symptom_earpain"
"131","Enterovirus.nasal",0.000000000360336696517111,0,Inf,"symptom_conjunctivitis"
"132","Enterovirus.nasal",0.478673234901289,0.253457824822257,0.904008649058458,"symptom_allsyst"
"133","Enterovirus.nasal",0.70482170133881,0.384631196512473,1.2915583425954,"symptom_fever"
"134","Enterovirus.nasal",0.482753282208841,0.217793015102895,1.0700560409309,"symptom_chills"
"135","Enterovirus.nasal",0.0000000234709009777158,0,Inf,"symptom_shaking"
"136","Enterovirus.nasal",0.978076540768994,0.537426037722705,1.78002860385457,"symptom_fatigue"
"137","Enterovirus.nasal",1.06726128278838,0.539582929925944,2.1109760568138,"symptom_myalgia"
"138","Enterovirus.nasal",0.00000000128696743764208,0,Inf,"symptom_lymphadenopathy"
"139","Enterovirus.nasal",0.718822880635153,0.369101981680901,1.39990127219454,"symptom_allneuro"
"140","Enterovirus.nasal",1.55861566196131,0.781522934945183,3.1083960215211,"symptom_headache"
"141","Enterovirus.nasal",0.000000170867000427755,0,Inf,"symptom_confusion"
"142","Enterovirus.nasal",0.00000000125741639825915,0,Inf,"symptom_seizure"
"143","Enterovirus.nasal",0.0000000122269649094374,0,Inf,"symptom_syncope"
"144","Enterovirus.nasal",0.504014701517305,0.151583948153243,1.67584247831286,"symptom_anosmia"
"145","Enterovirus.nasal",0.693432109413978,0.369595702416359,1.30101104320913,"symptom_allGI"
"146","Enterovirus.nasal",1.49869681536299,0.637792588206873,3.52166548484669,"symptom_abdpain"
"147","Enterovirus.nasal",0.339470212267792,0.129563202658133,0.889450265606767,"symptom_nausea"
"148","Enterovirus.nasal",0.904758423023249,0.441009642489354,1.85616758720026,"symptom_diarrhea"
"149","Enterovirus.nasal",5.30845209312565,1.00836320790797,27.9459458695183,"symptom_allderm"
"150","Enterovirus.nasal",3.57151719830661,0.398435546156445,32.0145509627582,"symptom_skinrash"
"151","Enterovirus.nasal",28.694141755435,0.851923452322072,966.464497293507,"symptom_skinulcer"
"152","Enterovirus.nasal",1.3696274125427,0.510056092008748,3.67779010696778,"symptom_allother"
"153","Enterovirus.nasal",0.0000000903289404107361,0,Inf,"symptom_arthralgia"
"154","Enterovirus.nasal",2.36332432183216,0.511330060604482,10.9230852642629,"symptom_edema"
"155","Enterovirus.nasal",1.95020717296527,0.436436598828402,8.71445710028684,"symptom_nonamb"
"156","Enterovirus.nasal",11.3438464381496,0.819838234742056,156.961271820661,"symptom_bleeding"
