"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"120","event_type",11,3168,3.62863437526306,3.99120952516707e-05,"CD8+ NKT Cell","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,6.78505619278402e-05
"121","(Intercept)",1,3168,7.49422886883096,0.0062242800890786,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.820294597440207,0.0793595711357522
"122","trajectory_group",1,3168,44.4398196303342,3.08210124089214e-11,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.104875457109156,1.96483954106874e-10
"123","sex",1,3168,9.20339481216773,0.00243526789374293,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0073058036812288
"124","discretized_admit_age_quantile",4,3168,82.1365661644061,0,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"125","virus_positive",1,3168,2.07865453176473,0.149470632361668,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0797965462727672,0.36300010716405
"126","event_type",11,3168,10.7463050447995,0,"CD8+ T Cell (CD161+ MAIT)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"127","(Intercept)",1,3168,0.0979152946302345,0.754366448480968,"CD8+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.099694488565156,0.85568723271241
"128","trajectory_group",1,3168,17.0845957035193,3.66776875062591e-05,"CD8+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.070004384822137,0.000155880171901601
"129","sex",1,3168,0.842755458204535,0.358679779957211,"CD8+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.454243027246798
"130","discretized_admit_age_quantile",4,3168,5.05956583828606,0.000460097148407335,"CD8+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.000902498252645156
"131","virus_positive",1,3168,3.60932922299803,0.0575470143590689,"CD8+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.111495141387816,0.183431108269532
"132","event_type",11,3168,14.1957108228293,0,"CD8+ T Cell (CM)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"133","(Intercept)",1,3168,0.213998490872598,0.64368308802998,"CD8+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.143109303282908,0.841739422808436
"134","trajectory_group",1,3168,45.1278065317747,2.1796120464046e-11,"CD8+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.110754756510204,1.58800306238049e-10
"135","sex",1,3168,15.7609630746424,7.3466534092903e-05,"CD8+ T Cell (EM CD27hi)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.000416310359859784
